1. Dev Psychopathol. 2018 Aug;30(3):1063-1086. doi: 10.1017/S0954579418000500.	Atypical fetal development: Fetal alcohol syndrome, nutritional deprivation,  teratogens, and risk for neurodevelopmental disorders and psychopathology.	Georgieff MK(1), Tran PV(1), Carlson ES(2).	Author information: (1)University of Minnesota School of Medicine. (2)University of Washington School of Medicine.	Accumulating evidence indicates that the fetal environment plays an important  role in brain development and sets the brain on a trajectory across the life  span. An abnormal fetal environment results when factors that should be present  during a critical period of development are absent or when factors that should  not be in the developing brain are present. While these factors may acutely  disrupt brain function, the real cost to society resides in the long-term  effects, which include important mental health issues. We review the effects of  three factors, fetal alcohol exposure, teratogen exposure, and nutrient  deficiencies, on the developing brain and the consequent risk for developmental  psychopathology. Each is reviewed with respect to the evidence found in  epidemiological and clinical studies in humans as well as preclinical molecular  and cellular studies that explicate mechanisms of action.	DOI: 10.1017/S0954579418000500 PMCID: PMC6074054 PMID: 30068419 [Indexed for MEDLINE]
2. Dev Psychopathol. 2018 Dec;30(5):1549-1555. doi: 10.1017/S0954579418001220.	Cultural development and psychopathology.	Causadias JM(1), Cicchetti D(2).	Author information: (1)Arizona State University. (2)University of Minnesota,Twin Cities.	Culture plays a pivotal role in adaptive and maladaptive development. However,  culture remains disconnected from theory, research, training, assessment, and  interventions in developmental psychopathology, limiting our understanding of  the genesis and epigenesis of mental health. Cultural development and  psychopathology research can help overcome this limitation by focusing on the  elucidation of cultural risk, protective, and promotive factors, at the  individual and social levels, that initiate, derail, or maintain trajectories of  normal and abnormal behavior. The goal of this Special Issue is to showcase  research on the association between culture, development, and psychopathology  that investigates equifinality and multifinality in cultural development, the  interplay between culture and biology, cultural assessment and interventions,  and cultural differences and similarities.	DOI: 10.1017/S0954579418001220 PMID: 30451138 [Indexed for MEDLINE]
3. Dev Psychopathol. 2019 Dec;31(5):1695-1713. doi: 10.1017/S0954579419000981.	Coping in context: The effects of long-term relations between interparental  conflict and coping on the development of child psychopathology following  parental divorce.	O'Hara KL(1), Sandler IN(1), Wolchik SA(1), Tein JY(1).	Author information: (1)REACH Institute, Arizona State University, Tempe, Arizona 85287, USA.	Exposure to high levels of postdivorce interparental conflict is a  well-documented risk factor for the development of psychopathology, and there is  strong evidence of a subpopulation of families for which conflict persists for  many years after divorce. However, existing studies have not elucidated  differential trajectories of conflict within families over time, nor have they  assessed the risk posed by conflict trajectories for development of  psychopathology or evaluated potential protective effects of children's coping  to mitigate such risk. We used growth mixture modeling to identify longitudinal  trajectories of child-reported conflict over a period of six to eight years  following divorce in a sample of 240 children. We related the trajectories to  children's mental health problems, substance use, and risky sexual behaviors and  assessed how children's coping prospectively predicted psychopathology in the  different conflict trajectories. We identified three distinct trajectories of  conflict; youth in two high-conflict trajectories showed deleterious effects on  measures of psychopathology at baseline and the six-year follow-up. We found  both main effects of coping and coping by conflict trajectory interaction  effects in predicting problem outcomes at the six-year follow-up. The study  supports the notion that improving youth's general capacity to cope adaptively  is a potentially modifiable protective factor for all children facing parental  divorce and that children in families with high levels of postdivorce conflict  are a particularly appropriate group to target for coping-focused preventive  interventions.	DOI: 10.1017/S0954579419000981 PMCID: PMC6854280 PMID: 31535609 [Indexed for MEDLINE]
4. Dev Psychopathol. 2018 Aug;30(3):843-854. doi: 10.1017/S095457941800038X.	Prenatal maternal stress, fetal programming, and mechanisms underlying later  psychopathology-A global perspective.	Glover V(1), O'Donnell KJ(2), O'Connor TG(3), Fisher J(4).	Author information: (1)Imperial College London. (2)McGill University. (3)University of Rochester Medical Center. (4)Monash University.	There is clear evidence that the mother's stress, anxiety, or depression during  pregnancy can alter the development of her fetus and her child, with an  increased risk for later psychopathology. We are starting to understand some of  the underlying mechanisms including the role of the placenta, gene-environment  interactions, epigenetics, and specific systems including the  hypothalamic-pituitary-adrenal axis and cytokines. In this review we also  consider how these effects may be different, and potentially exacerbated, in  different parts of the world. There can be many reasons for elevated prenatal  stress, as in communities at war. There may be raised pregnancy-specific anxiety  with high levels of maternal and infant death. There can be raised interpersonal  violence (in Afghanistan 90.2% of women thought that "wife beating" was  justified compared with 2.0% in Argentina). There may be interactions with  nutritional deficiencies or with extremes of temperature. Prenatal stress alters  the microbiome, and this can differ in different countries. Genetic differences  in different ethnic groups may make some more vulnerable or more resilient to  the effects of prenatal stress on child neurodevelopment. Most research on these  questions has been in predominantly Caucasian samples from high-income  countries. It is now time to understand more about prenatal stress and  psychopathology, and the role of both social and biological differences, in the  rest of the world.	DOI: 10.1017/S095457941800038X PMID: 30068411 [Indexed for MEDLINE]
5. Dev Psychopathol. 2018 Dec;30(5):1763-1777. doi: 10.1017/S0954579418001153. Epub  2018 Sep 28.	Cultural trauma and epigenetic inheritance.	Lehrner A(1), Yehuda R(1).	Author information: (1)James J. Peters Veterans Affairs Medical Center.	The question of whether and how the effects of cultural trauma can be  transmitted intergenerationally from parents to offspring, or even to later  generations, has evoked interest and controversy in academic and popular forums.  Recent methodological advances have spurred investigations of potential  epigenetic mechanisms for this inheritance, representing an exciting area of  emergent research. Epigenetics has been described as the means through which  environmental influences "get under the skin," directing transcriptional  activity and influencing the expression or suppression of genes. Over the past  decade, this complex environment-biology interface has shown increasing promise  as a potential pathway for the intergenerational transmission of the effects of  trauma. This article reviews challenges facing research on cultural trauma,  biological findings in trauma and posttraumatic stress disorder, and putative  epigenetic mechanisms for transmission of trauma effects, including through  social, intrauterine, and gametic pathways. Implications for transmission of  cultural trauma effects are discussed, focused on the relevance of cultural  narratives and the possibilities of resilience and adaptivity.	DOI: 10.1017/S0954579418001153 PMID: 30261943 [Indexed for MEDLINE]
6. Dev Psychopathol. 2019 Aug;31(3):847-857. doi: 10.1017/S0954579419000294. Epub  2019 Apr 24.	Deprivation and threat, emotion dysregulation, and psychopathology: Concurrent  and longitudinal associations.	Milojevich HM(1), Norwalk KE(2), Sheridan MA(3).	Author information: (1)Center for Developmental Science, University of North Carolina at Chapel  Hill,Chapel Hill, NC,USA. (2)Department of Psychology,North Carolina State University,Raleigh, NC,USA. (3)Department of Psychology and Neuroscience,University of North Carolina at  Chapel Hill,Chapel Hill, NC,USA.	Maltreatment increases risk for psychopathology in childhood and adulthood, thus  identifying mechanisms that influence these associations is necessary for future  prevention and intervention. Emotion dysregulation resulting from maltreatment  is one potentially powerful mechanism explaining risk for psychopathology. This  study tests a conceptual model that distinguishes deprivation and threat as  distinct forms of exposure with different pathways to psychopathology. Here we  operationalize threat as exposure to physical and/or sexual abuse and  deprivation as exposure to neglect. We test the hypothesis that threat and  deprivation differentially predict use of avoidant strategies and total  regulation. Data were drawn from the Longitudinal Studies on Child Abuse and  Neglect (LONGSCAN study; N = 866), which followed high-risk children from age 4  to 18. At age 6, children and their parents reported on adversity exposure. Case  records documented exposure to abuse and neglect. At 18, adolescents reported on  regulation strategies and psychopathology. Regression analyses indicated that  greater exposure to threat, but not deprivation, predicted greater use of  avoidant strategies in adolescence. Moreover, avoidance partially mediated the  longitudinal association between exposure to threat in early childhood and  symptoms of internalizing psychopathology in adolescence. Results suggest that  abuse and neglect differentially predict regulation strategy use and that  regulation strategy use predicts psychopathology.	DOI: 10.1017/S0954579419000294 PMCID: PMC7012774 PMID: 31014408 [Indexed for MEDLINE]
7. Dev Psychopathol. 2019 Aug;31(3):945-956. doi: 10.1017/S0954579419000403. Epub  2019 May 22.	Integrative emotion regulation: Process and development from a  self-determination theory perspective.	Roth G(1), Vansteenkiste M(2), Ryan RM(3).	Author information: (1)Department of Education,Ben-Gurion University of the Negev,Beersheba,Israel. (2)Department of Developmental,Personality, and Social Psychology,Ghent  University,Ghent,Belgium. (3)Institute for Positive Psychology and Education (IPPE), Australian Catholic  University,North Sydney,New South Wales,Australia.	Grounded in self-determination theory's (SDT; Ryan &amp; Deci, 2017) organismic  perspective, we present a process view of integrative emotion regulation. SDT  describes three general types of emotion regulation: integrative emotion  regulation, which focuses on emotions as carrying information that is brought to  awareness; controlled emotion regulation, which is focused on diminishing  emotions through avoidance, suppression, or enforced expression or reappraisal;  and amotivated emotion regulation, in which emotions are uncontrolled or  dysregulated. We review survey and experimental research contrasting these  emotion regulation styles, providing evidence for the benefits of integrative  emotion regulation for volitional functioning, personal well-being, and  high-quality relationships, and for the costs of controlled emotion regulation  and dysregulation. The development of emotion regulation styles is discussed,  especially the role of autonomy-supportive parenting in fostering more  integrative emotion regulation, and the role of controlling parenting in  contributing to controlled or dysregulated emotion processing. Overall,  integrative emotion regulation represents a beneficial style of processing  emotions, which develops most effectively in a nonjudgmental and  autonomy-supportive environment, an issue relevant to both development and  psychotherapy.	DOI: 10.1017/S0954579419000403 PMID: 31113502 [Indexed for MEDLINE]
8. Dev Psychopathol. 2019 Aug;31(3):1143-1156. doi: 10.1017/S0954579419000658. Epub  2019 Jun 6.	Borderline personality disorder and emotion dysregulation.	Chapman AL(1).	Author information: (1)Department of Psychology,Simon Fraser University,Vancouver, BC,Canada.	Borderline personality disorder (BPD) is a severe and complex disorder  characterized by instability across many life domains, including interpersonal  relations, behavior, and emotions. A core feature and contributor to BPD,  emotion dysegulation (ED), consists of deficits in the ability to regulate  emotions in a manner that allows the individual to pursue important goals or  behave effectively in various contexts. Biosocial developmental models of BPD  have emphasized a transaction of environmental conditions (e.g., invalidating  environments and adverse childhood experiences) with key genetically linked  vulnerabilities (e.g., impulsivity and emotional vulnerability) in the  development of ED and BPD. Emerging evidence has begun to highlight the complex,  heterotypic pathways to the development of BPD, with key heritable vulnerability  factors possibly interacting with aspects of the rearing environment to produce  worsening ED and an adolescent trajectory consisting of self-damaging behaviors  and eventual BPD. Adults with BPD have shown evidence of a variety of cognitive,  physiological, and behavioral characteristics of ED. As the precursors to the  development of ED and BPD have become clearer, prevention and treatment efforts  hold great promise for reducing the long-term suffering, functional impairment,  and considerable societal costs associated with BPD.	DOI: 10.1017/S0954579419000658 PMID: 31169118 [Indexed for MEDLINE]
9. Dev Psychopathol. 2018 Aug;30(3):1129-1144. doi: 10.1017/S0954579418000494.	Prenatal stress and the development of psychopathology: Lifestyle behaviors as a  fundamental part of the puzzle.	De Weerth C(1).	Author information: (1)Radboud University.	Maternal psychological stress, depression, and anxiety during pregnancy  (prenatal stress; PNS) are thought to impact fetal development with long-term  effects on offspring outcome. These effects would include physical and mental  health, including psychopathology. Maternal sleep, diet, and exercise during  pregnancy are lifestyle behaviors that are understudied and often solely  included in PNS studies as confounders. However, there are indications that  these lifestyle behaviors may actually constitute essential mediators between  PNS and fetal programming processes. The goal of this theoretical review was to  investigate this idea by looking at the evidence for associations between PNS  and sleep, diet, and exercise, and by piecing together the information on  potential underlying mechanisms and causal pathways through which these factors  may affect the offspring. The analysis of the literature led to the conclusion  that sleep, diet, and exercise during pregnancy, may have fundamental roles as  mediators between PNS and maternal pregnancy physiology. By integrating these  lifestyle behaviors into models of prenatal programming of development, a  qualitatively higher and more comprehensive understanding of the prenatal  origins of psychopathology can be obtained. The review finalizes by discussing  some of the present challenges facing the field of PNS and offspring  programming, and offering solutions for future research.	DOI: 10.1017/S0954579418000494 PMID: 30068418 [Indexed for MEDLINE]
10. Dev Psychopathol. 2018 Aug;30(3):743-762. doi: 10.1017/S0954579418000342.	Prenatal stress and the developing brain: Risks for neurodevelopmental  disorders.	van den Bergh BRH(1), Dahnke R(2), Mennes M(3).	Author information: (1)University of Leuven. (2)University Hospital Jena. (3)Radboud University.	Erratum in     Dev Psychopathol. 2019 Feb;31(1):395.	The prenatal period is increasingly considered as a crucial target for the  primary prevention of neurodevelopmental and psychiatric disorders.  Understanding their pathophysiological mechanisms remains a great challenge. Our  review reveals new insights from prenatal brain development research, involving  (epi)genetic research, neuroscience, recent imaging techniques, physical  modeling, and computational simulation studies. Studies examining the effect of  prenatal exposure to maternal distress on offspring brain development, using  brain imaging techniques, reveal effects at birth and up into adulthood.  Structural and functional changes are observed in several brain regions  including the prefrontal, parietal, and temporal lobes, as well as the  cerebellum, hippocampus, and amygdala. Furthermore, alterations are seen in  functional connectivity of amygdalar-thalamus networks and in intrinsic brain  networks, including default mode and attentional networks. The observed changes  underlie offspring behavioral, cognitive, emotional development, and  susceptibility to neurodevelopmental and psychiatric disorders. It is concluded  that used brain measures have not yet been validated with regard to sensitivity,  specificity, accuracy, or robustness in predicting neurodevelopmental and  psychiatric disorders. Therefore, more prospective long-term longitudinal  follow-up studies starting early in pregnancy should be carried out, in order to  examine brain developmental measures as mediators in mediating the link between  prenatal stress and offspring behavioral, cognitive, and emotional problems and  susceptibility for disorders.	DOI: 10.1017/S0954579418000342 PMID: 30068407 [Indexed for MEDLINE]
