PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Dicken, L; Suddendorf, T; Bulley, A; Irish, M; Redshaw, J				Dicken, Lily; Suddendorf, Thomas; Bulley, Adam; Irish, Muireann; Redshaw, Jonathan			Children's emerging ability to balance internal and external cognitive resources	CHILD DEVELOPMENT												Australian children aged 6-9 years (N = 120, 71 females; data collected in 2021-2022) were tasked with remembering the locations of 1, 3, 5, and 7 targets hidden under 25 cups on different trials. In the critical test phase, children were provided with a limited number of tokens to allocate across trials, which they could use to mark target locations and assist future memory performance. Following the search period, children were invited to adjust their previous token allocation. Although 8- to 9-year-olds prospectively allocated proportionately more tokens to more difficult trials, 6- to 7-year-olds did so only in retrospect. During middle childhood, humans become increasingly adept at weighing up when to rely on their unaided capacities and when to offload cognitive demand.																			0009-3920	1467-8624				2024 NOV 28	2024										10.1111/cdev.14205	http://dx.doi.org/10.1111/cdev.14205		NOV 2024											WOS:001364914900001
J	Sander-Montant, A; Bissonnette, R; Byers-Heinlein, K				Sander-Montant, Andrea; Bissonnette, Rebecca; Byers-Heinlein, Krista			Like mother like child: Differential impact of mothers' and fathers' individual language use on bilingual language exposure	CHILD DEVELOPMENT												Language exposure is an important determiner of language outcomes in bilingual children. Family language strategies (FLS, e.g., one-parent-one-language) were contrasted with parents' individual language use to predict language exposure in 4-31-month-old children (50% female) living in Montreal, Quebec. Two-hundred twenty one children (primarily European (48%) and mixed ethnicity (29%)) were learning two community languages (French and English) and 60 (primarily mixed ethnicity (39%) and European (16%)) were learning one community and one heritage language. Parents' individual language use better predicted exposure than FLS (explaining similar to 50% vs. similar to 6% of variance). Mothers' language use was twice as influential on children's exposure as fathers', likely due to gendered caregiving roles. In a subset of families followed longitudinally, similar to 25% showed changes in FLS and individual language use over time. Caregivers, especially mothers, individually shape bilingual children's language exposure.						Sander-Montant, Andrea/0000-0001-9732-3460; Byers-Heinlein, Krista/0000-0002-7040-2510													0009-3920	1467-8624				2024 NOV 22	2024										10.1111/cdev.14196	http://dx.doi.org/10.1111/cdev.14196		NOV 2024						39575856					WOS:001361695500001
J	Janssen, LHC; Beyens, I; de Vaate, NAJDB; van der Wal, A; Valkenburg, PM; Keijsers, L				Janssen, Loes H. C.; Beyens, Ine; de Vaate, Nadia A. J. D. Bij; van Der Wal, Amber; Valkenburg, Patti M.; Keijsers, Loes			Parent-adolescent communication in a digital world: A 100-day diary study	CHILD DEVELOPMENT												Digital technology enables parents and adolescents to communicate anywhere and anytime. Knowledge of parent-adolescent online communication, however, is mainly based on cross-sectional studies. In this preregistered 100-day diary study, 479 adolescents (Mage = 15.98, 54.9% girls; 96.9% Dutch) reported daily if they had communicated with their parents online, how long (i.e., duration), and what they discussed (i.e., topics). Parent-adolescent online communication took place on 43% of days, for an average of 20 min a day, and predominantly concerned micro-coordination. Five profiles of parent-adolescent online communication were identified, with most adolescents (55.4%) communicating relatively infrequently and briefly. Boys and younger adolescents communicated longer than girls and older adolescents. Although parent-adolescent online contact is possible all day, very few adolescents do so.					; Beyens, Ine/ABE-9982-2020; Valkenburg, Patti M./ABE-2951-2021	Bij de Vaate, N.A.J.D./0000-0002-9455-6944; Janssen, Loes/0000-0003-3543-6026; Van Der Wal, Amber/0000-0002-0301-5502; Beyens, Ine/0000-0001-7023-867X; Valkenburg, Patti M./0000-0003-0477-8429													0009-3920	1467-8624				2024 NOV 22	2024										10.1111/cdev.14203	http://dx.doi.org/10.1111/cdev.14203		NOV 2024						39578721					WOS:001361124600001
J	Ratner, K; Xie, H; Zhu, GX; Estevez, M; Burrow, AL				Ratner, Kaylin; Xie, Hou; Zhu, Gaoxia; Estevez, Melody; Burrow, Anthony L.			Trajectories and predictors of adolescent purpose development in self-driven learning	CHILD DEVELOPMENT												Purpose offers several important benefits to youth. Thus, it is necessary to understand how a sense of purpose develops in supportive contexts and what psychological resources can help. From 2021 to 2022, this study investigated purpose change among 321 youth (M-age = 16.4 years; 71% female; 25.9% Black, 33.3% Asian, 15.6% Hispanic/Latinx, 13.4% White, 9.7% multiracial) participating in GripTape, a similar to 10-week self-driven learning program. Many youth started with high initial purpose that increased throughout enrollment (Strengthening), whereas others began with slightly lower purpose that remained stable (Maintaining). For each unit increase in baseline agency, youth were 1.6x more likely to be classified as Strengthening. As such, agency may be a resource that helps youth capitalize on certain types of environments.					Zhu, Gaoxia/GSM-9795-2022	Ratner, Kaylin/0000-0003-0875-6905; Zhu, Gaoxia/0000-0003-4589-0775; Burrow, Anthony/0000-0003-1247-0985; Xie, Hou/0009-0008-1739-0072													0009-3920	1467-8624				2024 NOV 21	2024										10.1111/cdev.14201	http://dx.doi.org/10.1111/cdev.14201		NOV 2024						39573863					WOS:001361578500001
J	Shachnai, R; Asaba, M; Hu, LY; Leonard, JA				Shachnai, Reut; Asaba, Mika; Hu, Lingyan; Leonard, Julia A.			Pointing out learning opportunities reduces overparenting	CHILD DEVELOPMENT												Overparenting-taking over and completing developmentally appropriate tasks for children-is pervasive and hurts children's motivation. Can overparenting in early childhood be reduced by simply framing tasks as learning opportunities? In Study 1 (N = 77; 62% female; 74% White; collected 4/2022), US parents of 4-to-5-year-olds reported taking over less on tasks they perceived as greater learning opportunities, which was most often the case on academic tasks. Studies 2 and 3 (N = 140; 67% female; 52% White; collected 7/2022-9/2023) showed that framing the everyday, non-academic task of getting dressed as a learning opportunity-whether big or small-reduced parents' taking over by nearly half (r = -.39). These findings suggest that highlighting learning opportunities helps parents give children more autonomy.						Hu, Lingyan/0000-0001-5982-0183; Shachnai, Reut/0000-0001-8046-0987; Leonard, Julia/0000-0001-8099-2721													0009-3920	1467-8624				2024 NOV 21	2024										10.1111/cdev.14198	http://dx.doi.org/10.1111/cdev.14198		NOV 2024						39572978					WOS:001360451600001
J	Ansari, A; Buckley, MN; Woods, SC; Gottfried, M				Ansari, Arya; Buckley, M. Nicole; Woods, S. Colby; Gottfried, Michael			The cumulative, timing-specific, and enduring associations between student-teacher relationships and early elementary outcomes	CHILD DEVELOPMENT												Using data from the Early Childhood Longitudinal Study-Kindergarten Class of 2011 (n = 14,370; 51% Male; 51% White; 14% Black; 25% Hispanic; 4% Asian; and 6% Other), this study examined the cumulative, timing-specific, and enduring associations between student-teacher relationships in the United States and a broad range of student outcomes. Student-teacher conflict and closeness were consistently associated with outcomes between kindergarten and third grade, both contemporaneously and over time. The main exception was for student absenteeism, where there were less consistent associations with student-teacher conflict. Cumulative models underscore the significance of the overall experiences of high-quality relationships over time. Despite little evidence of variability, girls fared less well socially due to more conflictual and less close relationships with their teachers than boys.																			0009-3920	1467-8624				2024 NOV 20	2024										10.1111/cdev.14177	http://dx.doi.org/10.1111/cdev.14177		NOV 2024						39563483					WOS:001358296300001
J	Frye, KE; Anthony, CJ; Lei, PW; Husmann, KD; DiPerna, JC				Frye, Katherine E.; Anthony, Christopher J.; Lei, Pui-Wa; Husmann, Kyle D.; DiPerna, James C.			Utility of the social skills improvement system-rating scales for capturing dynamic social constructs: Evidence using the measurement model of derivatives	CHILD DEVELOPMENT												Social skills are dynamic developmental constructs typically measured using assessments developed via cross-sectional methods. The measurement model of derivatives (MMOD), a factor analytic approach targeting individual growth trajectories, was used to evaluate the longitudinal factor structure of the Social Skills Improvement System-Rating Scales (SSIS-RS) teacher form with a sample of 1320 first and second grade students (51.6% female, 54.8% white, 20.6% Black, 14.4% Hispanic). Although results provided support for three of the original SSIS-RS factors (Assertion, Empathy, Self-Control), there was some evidence that the other four original domains (Cooperation, Responsibility, Engagement, Communication) could be explained by two factors in this age range. Implications for using the SSIS-RS and the utility of the MMOD in developmental research are discussed.					Anthony, Christopher/AAV-2706-2020	Lei, Pui-Wa/0000-0002-8179-6623; DiPerna, James/0000-0002-4663-9286; Anthony, Christopher/0000-0003-1883-8322; Frye, Katherine/0000-0002-3359-4453; Husmann, Kyle/0000-0001-9875-8976													0009-3920	1467-8624				2024 NOV 19	2024										10.1111/cdev.14199	http://dx.doi.org/10.1111/cdev.14199		NOV 2024						39563008					WOS:001358444200001
J	Raz, KL; Kaufman, EM; Killen, M				Raz, Kate Luken; Kaufman, Elise M.; Killen, Melanie			Children's evaluations of interracial peer inclusion and exclusion: The role of intimacy	CHILD DEVELOPMENT												The present study investigated how Black and White American children, ages 6 to 9.5 years and 9.5 to 12 years (N = 219, MAge = 9.18 years, SDAge = 1.90; 51% female) evaluated vignettes in which peers included a same- or cross-race peer in a high-intimacy or low-intimacy context. These data were collected from 2021 to 2022. Children expected characters to be less likely to include cross-race peers in high- than low-intimacy contexts. They also evaluated cross-race exclusion more negatively in high- and low-intimacy contexts. Black participants evaluated cross-race exclusion more negatively than did White participants. Older participants were more likely to personally include a cross-race peer. This study is a first step toward understanding the role of intimacy in cross-race peer relationships.						Luken Raz, Katherine/0000-0003-1666-5704; Kaufman, Elise/0000-0002-7419-0164; Killen, Melanie/0000-0002-6392-9373													0009-3920	1467-8624				2024 NOV 19	2024										10.1111/cdev.14197	http://dx.doi.org/10.1111/cdev.14197		NOV 2024						39563014					WOS:001358393000001
J	Leung, A; Yurovsky, D; Hawkins, RD				Leung, Ashley; Yurovsky, Daniel; Hawkins, Robert D.			Parents spontaneously scaffold the formation of conversational pacts with their children	CHILD DEVELOPMENT												Adults readily coordinate on temporary pacts about how to refer to things in conversation. Young children are also capable of forming pacts with peers given appropriate experimenter intervention. Here, we investigate whether parents may spontaneously provide a similar kind of scaffolding with U.S. children in a director-matcher task (N = 201, 49% female; ages 4, 6, 8). In Experiment 1, we show that parents initiate more clarification exchanges with younger children who, in turn, are more likely to adopt labels introduced by the parent. We then examine whether the benefit of such scaffolding acts primarily through childrens' difficulties with comprehension (Experiment 2) or production (Experiment 3). Our findings suggest that parents primarily scaffold pacts by easing children's production difficulties, modeling cooperative communication.						Hawkins, Robert/0000-0001-9089-8544													0009-3920	1467-8624				2024 NOV 18	2024										10.1111/cdev.14186	http://dx.doi.org/10.1111/cdev.14186		NOV 2024						39552570					WOS:001356899200001
J	Rogoff, B; Aceves-Azuara, I				Rogoff, Barbara; Aceves-Azuara, Itzel			Mother-child collaboration in an Indigenous community: Changing and enduring across generations	CHILD DEVELOPMENT												Changes in family life related to globalization may include reduction in the collaborativeness observed in many Indigenous American communities. The present study examined longitudinal changes and continuities in collaboration in a Guatemalan Maya community experiencing rapid globalization. Fluid collaboration was widespread 3 decades ago among triads of mothers and 1- to 6-year-olds in 24 Mayan families exploring novel objects during home visits (Dayton et al., 2022). However, in the "same" situation 30 years later, 22 mother-child triads of their relatives spent half as much time in collaboration among all three people. This aligns with globalizing changes and with the pattern of Dayton et al.'s middle-class European American families. Nonetheless, the Mayan families maintained harmonious interactions, in line with preserving important cultural values.						Rogoff, Barbara/0000-0002-4153-3992													0009-3920	1467-8624				NOV	2024	95	6					1858	1878		10.1111/cdev.14181	http://dx.doi.org/10.1111/cdev.14181		NOV 2024						39540594					WOS:001357183300001
J	Owais, S; Ospina, MB; Ford, CD; Hill, T; Lai, J; Krzeczkowski, J; Burack, JA; Van Lieshout, RJ				Owais, Sawayra; Ospina, Maria B.; Ford, Camron D.; Hill, Troy; Lai, Jessica; Krzeczkowski, John; Burack, Jacob A.; Van Lieshout, Ryan J.			Determinants of socioemotional and behavioral well-being among First Nations children living off-reserve in Canada: A cross-sectional study	CHILD DEVELOPMENT												Few studies have focused on off-reserve Indigenous children and families. This nationally representative, cross-sectional study (data collected from 2006 to 2007) examined Indigenous- and non-Indigenous-specific determinants associated with positive socioemotional and behavioral well-being among First Nations children living off-reserve in Canada. The parents or other caregivers of 2990 two-to-five-year-old children (M = 3.65; 50.6% male) reported on their children's socioemotional and behavioral well-being and a range of child, parent, and housing characteristics. Being taught an Indigenous culture, greater community cohesion, caregiver nurturance, good parental/other caregiver health, and fewer household members were associated with better socioemotional and behavioral well-being. These results highlight the importance of leveraging Indigenous-specific determinants and acknowledging non-Indigenous-specific factors, to promote the well-being of First Nations children living off-reserve.						Lai, Jessica/0000-0003-2520-7078; Owais, Sawayra/0000-0002-3966-1215													0009-3920	1467-8624				NOV	2024	95	6					1879	1893		10.1111/cdev.14192	http://dx.doi.org/10.1111/cdev.14192		NOV 2024						39533786					WOS:001356946400001
J	Wass, SV; Smith, CS; Mirza, FU; Greenwood, EMG; Goupil, L				Wass, S. V.; Smith, C. S.; Mirza, F. U.; Greenwood, E. M. G.; Goupil, L.			Needing to shout to be heard? Caregiver under-responsivity and disconnection between vocal signaling and autonomic arousal in infants from chaotic households	CHILD DEVELOPMENT												Children raised in chaotic households show affect dysregulation during later childhood. To understand why, we took day-long home recordings using microphones and autonomic monitors from 74 12-month-old infant-caregiver dyads (40% male, 60% white, data collected between 2018 and 2021). Caregivers in low-Confusion Hubbub And Order Scale (chaos) households responded to negative affect infant vocalizations by changing their own arousal and vocalizing in response; but high-chaos caregivers did not, whereas infants in low-chaos households consistently produced clusters of negative vocalizations around peaks in their own arousal, high-chaos infants did not. Their negative vocalizations were less tied to their own underlying arousal. Our data indicate that, in chaotic households, both communicating and responding are atypical: infants are not expressing their levels of arousal, and caregivers are under-responsive to their infants' behavioral signals.						Wass, Sam/0000-0002-7421-3493													0009-3920	1467-8624				2024 NOV 8	2024										10.1111/cdev.14183	http://dx.doi.org/10.1111/cdev.14183		NOV 2024						39513489					WOS:001354584600001
J	Tsethlikai, M; Cole, A; Hoffman, AJ; Bang, M; Ng, FFY				Tsethlikai, Monica; Cole, Ashley; Hoffman, Adam J.; Bang, Megan; Ng, Florrie Fei-Yin			To heal, grow, and thrive: Engaging Indigenous paradigms and perspectives in developmental science	CHILD DEVELOPMENT												A focus on positive child development among Indigenous children has largely been absent from developmental science. In this special section of Child Development, we sought to address continuing inequity in representation and valuing Indigenous knowledge and voices by soliciting articles that identified cultural and strengths-based factors Indigenous children, youth, and families cultivate and leverage to promote positive development. In this introduction to the special section, we provide an overview of the four empirical articles included, with attention to the ways these articles advance Indigenous paradigms and methodologies by focusing on the unique histories and strengths of four distinct Indigenous communities. We end with a discussion of how to promote continued growth and inclusiveness in developmental science with Indigenous communities.						Tsethlikai, Monica/0000-0003-3128-7123; Ng, Florrie Fei-Yin/0000-0001-5237-6913; Hoffman, Adam/0000-0001-5508-3905; Cole, Ashley/0000-0003-0035-0839													0009-3920	1467-8624				NOV	2024	95	6					1817	1828		10.1111/cdev.14194	http://dx.doi.org/10.1111/cdev.14194		NOV 2024						39494623					WOS:001357347100001
J	Tsethlikai, M; Cole, A; Hoffman, AJ; Bang, M; Ng, FFY				Tsethlikai, Monica; Cole, Ashley; Hoffman, Adam J.; Bang, Megan; Ng, Florrie Fei-Yin			To heal, grow, and thrive: Engaging Indigenous paradigms and perspectives in developmental science	CHILD DEVELOPMENT												A focus on positive child development among Indigenous children has largely been absent from developmental science. In this special section of Child Development, we sought to address continuing inequity in representation and valuing Indigenous knowledge and voices by soliciting articles that identified cultural and strengths-based factors Indigenous children, youth, and families cultivate and leverage to promote positive development. In this introduction to the special section, we provide an overview of the four empirical articles included, with attention to the ways these articles advance Indigenous paradigms and methodologies by focusing on the unique histories and strengths of four distinct Indigenous communities. We end with a discussion of how to promote continued growth and inclusiveness in developmental science with Indigenous communities.						Tsethlikai, Monica/0000-0003-3128-7123; Ng, Florrie Fei-Yin/0000-0001-5237-6913; Hoffman, Adam/0000-0001-5508-3905; Cole, Ashley/0000-0003-0035-0839													0009-3920	1467-8624				NOV	2024	95	6					1817	1828		10.1111/cdev.14194	http://dx.doi.org/10.1111/cdev.14194								39494623					WOS:001361634700029
J	Ferry, AL; Corcoran, MG; Williams, E; Curtis, SM; Gale, CJ; Twomey, KE				Ferry, Alissa L.; Corcoran, Mia G.; Williams, Emily; Curtis, Sheila M.; Gale, Cathryn J.; Twomey, Katherine E.			<i>Bigger</i> versus <i>smaller</i>: Children's understanding of size comparison words becomes more precise with age	CHILD DEVELOPMENT												The ability to compare plays a key role in how humans learn, but words that describe relations between objects, like comparisons, are difficult to learn. We examined how children learn size comparison words, and how their interpretations of these change across development. One-hundred-and-forty children in England (36-107 months; 68 girls; majority White) were asked to build block structures that were bigger, longer, smaller, shorter, or taller than an experimenter's. Children were most successful with words that refer to size increases. Younger children were less accurate with smaller and shorter, often building bigger structures. The dimensional aspect of taller emerged gradually. These findings suggest that children's interpretation of the meaning of size comparison words changes and becomes more precise across development.																			0009-3920	1467-8624				2024 NOV 1	2024										10.1111/cdev.14182	http://dx.doi.org/10.1111/cdev.14182		NOV 2024						39485287					WOS:001357169700001
