PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Antúnez, M; McSweeney, M; Zeytinoglu, S; Tan, ED; Zeanah, CH; Nelson, CA; Fox, NA				Antunez, Martin; McSweeney, Marco; Zeytinoglu, Selin; Tan, Enda; Zeanah, Charles H.; Nelson, Charles A.; Fox, Nathan A.			Exploring Background Aperiodic Electroencephalography (EEG) Activity in the Bucharest Early Intervention Project	DEVELOPMENTAL PSYCHOLOGY												Aperiodic activity is a background arrhythmic component of electroencephalogram (EEG) that is present in the power spectrum and characterized by an aperiodic offset and an aperiodic exponent. These components have been proposed as a marker of brain maturation, reflecting alterations in excitatory-inhibitory (E:I) balance and exhibiting developmental changes over time. Currently, there is limited understanding regarding how aperiodic activity changes over the course of an individual's life, particularly from early childhood to adolescence, a period when the brain undergoes significant structural and functional transformation. More importantly, considering that brain development is affected by early experience, there is no evidence on how early adversity might affect these parameters. Here, we examined the developmental trajectories of aperiodic activity from EEG data collected in the Bucharest Early Intervention Project, from early childhood to mid adolescence (from 42 months of age up to 16 years old). We examined the effects of a history of early adversity and the impact of early intervention on background aperiodic EEG activity. Surprisingly, we found little influence of a history of adversity or early intervention on these characteristics of the signal. Rather, we found nonlinear age-related trajectories in both aperiodic offset and aperiodic exponent and sex differences in the trajectory for aperiodic offset (but not exponent). These findings provide information on the maturational patterns and trajectories of brain development from early childhood to mid adolescence and how background aperiodic activity describes one aspect of EEG development.					Antúnez, Martín/AAY-1017-2021; Zeytinoglu, Selin/IAS-0517-2023														0012-1649	1939-0599				2024 SEP 5	2024										10.1037/dev0001804	http://dx.doi.org/10.1037/dev0001804		SEP 2024						39235879					WOS:001305899600001
J	Mackie, L; Eickhoff, LA; Nimpf, E; Huber, L; Hoehl, S				Mackie, Louise; Eickhoff, Leslie-Ann; Nimpf, Eluisa; Huber, Ludwig; Hoehl, Stefanie			Parental Models and Overimitation in 5-Year-Old Children	DEVELOPMENTAL PSYCHOLOGY												Individuals often copy another's causally irrelevant actions despite their inefficiency toward goals. The present study investigated the influence of model familiarity on this behavior-known as "overimitation"-with a two-phase overimitation task. We tested whether 5-year-old Austrian children (N = 52, 28 males) would overimitate their parents more than a stranger when operating a novel puzzle box. First, an inefficient strategy was demonstrated by a parent (or stranger) before the child's first turn on the box; then, an efficient strategy was demonstrated by a stranger (or parent) before the child's second turn. Results showed that children who first saw their parent's inefficient strategy overimitated it slightly more than those who saw the stranger's. After the efficient demonstration, we observed a reduction in children's overimitation of their parent's (but not the stranger's) inefficient strategy. Comparisons to a no-model (baseline) condition revealed significantly higher overimitation scores for our parent-then-stranger and stranger-then-parent conditions in the first phase, but only for the stranger-then-parent condition in the second phase. We also observed children protesting against their parents' efficient demonstration (in favor of the stranger's inefficient demonstration). These results suggest (a) that overimitation can occur in two ways (supporting a dual-process theory) and (b) that children selectively overimitate depending on model familiarity.					Mackie, Louise/JGE-0879-2023; Hoehl, Stefanie/N-2452-2014	Mackie, Louise/0009-0004-6834-2987; Hoehl, Stefanie/0000-0003-0472-0374													0012-1649	1939-0599				2024 SEP 5	2024										10.1037/dev0001798	http://dx.doi.org/10.1037/dev0001798		SEP 2024						39235880					WOS:001305896300001
J	Maier, PM; Schommartz, I; Iggena, D; Finke, C; Ploner, CJ; Shing, YL				Maier, Patrizia M.; Schommartz, Iryna; Iggena, Deetje; Finke, Carsten; Ploner, Christoph J.; Shing, Yee Lee			Development of Spatial Memory Consolidation: A Comparison Between Children and Adults	DEVELOPMENTAL PSYCHOLOGY												Successful navigation to spatial locations relies on lasting memories from previous experiences. Spatial navigation undergoes profound maturational changes during childhood. It is unclear how well children can consolidate navigation-based spatial memories and if age-related variations in navigation during training predict spatial memory. The present study examined the immediate and long-delay (after a 2-week period) consolidation of navigation-based spatial memories in 6- to 8-year-old children (n = 33, 18 female/15 male, M-age = 7.61, SDage = 0.71), 9- to 11-year-old children (n = 32, 13 female/19 male, M-age = 9.90, SDage = 0.59), and 20- to 30-year-old adults (n = 31, 15 female/16 male, M-age = 23.71, SDage = 2.87). Our results showed that, with age, participants navigated more efficiently during training and formed better immediate spatial memories. Long-delay spatial memory retention after 2 weeks was comparable between children and adults, indicating robust consolidation even in children. Interestingly, while children successfully distinguished between perceptually detailed landmarks after 2 weeks, their abstract knowledge of spatial boundaries and cognitive map of landmark relations was poor. Developmental trajectories were similar for egocentric and allocentric spatial memory. Age-related variations in initial navigation were predictive of spatial memory, that is, children with a more mature initial navigation were more likely to find and remember spatial locations immediately and after a 2-week delay. Taken together, our results show an overall robust spatial memory consolidation in mid and late childhood that can be predicted by initial navigation behavior, coupled with nuanced age differences in the recall of spatial boundaries and cognitive maps.					; Finke, Carsten/H-6479-2017	Shing, Yee Lee/0000-0001-8922-7292; Iggena, Deetje/0000-0001-8778-5127; Ploner, Christoph Johannes/0000-0003-0983-4530; Schommartz, Iryna/0000-0001-8655-9259; Finke, Carsten/0000-0002-7665-1171													0012-1649	1939-0599				2024 SEP 5	2024										10.1037/dev0001799	http://dx.doi.org/10.1037/dev0001799		SEP 2024						39235881					WOS:001305897800001
J	Prenevost, MH; Nilsen, IBR; Bolstad, E; Pons, F; Harris, PL; Reber, R				Prenevost, Mathilde H.; Nilsen, Ida B. R.; Bolstad, Evalill; Pons, Francisco; Harris, Paul L.; Reber, Rolf			Young Children's Understanding and Experience of Insight	DEVELOPMENTAL PSYCHOLOGY												An insight is a moment of sudden understanding followed by characteristic feelings of suddenness, positive affect, certainty, and ease, commonly known as an aha experience. Despite evidence from studies with adults that aha experiences benefit learning, little systematic research on children's aha experiences exists. The present study asks how children understand and experience insight. We presented a community sample of 160 children (age: 4-8 years, 47% girls, 51% boys, 2% nonbinary) with an illustrated clues task inspired by the Remote Associate Test, a task commonly used to study insight in adults. In this task, children saw three clues and were asked to find a solution word that was associated with the three clues. Self-reported and observed aha experiences were recorded, along with children's solution accuracy and confidence. Children also answered a set of questions to assess their understanding of aha experiences. We found that although the number of aha experiences remained stable across age, there was a clear developmental increase in the understanding of aha experiences. Children's ability to recognize their own aha experiences as well as their general understanding of the aha concept increased with age. This suggests a lag between the occurrence of children's aha experiences and their understanding of such experiences; children first have aha experiences and later develop an understanding of those experiences. Aha experiences were associated with higher accuracy, but not with higher confidence ratings. Observed aha experiences, but not self-reported aha experiences, predicted increased motivation. Our findings are in line with the literature on metacognitive development and the distinction between the experience and the understanding of emotion.					Prenevost, Mathilde Hallingstad/AAY-2400-2020	Prenevost, Mathilde Hallingstad/0000-0003-2451-1262													0012-1649	1939-0599				2024 SEP 5	2024										10.1037/dev0001807	http://dx.doi.org/10.1037/dev0001807		SEP 2024						39235878					WOS:001305898000001
J	Marceau, K; Conradt, E; Roubinov, D				Marceau, Kristine; Conradt, Elisabeth; Roubinov, Danielle			Prenatal Influences Across the Life Course: Biobehavioral Mechanisms of Development	DEVELOPMENTAL PSYCHOLOGY												Despite the well-established importance of prenatal experiences for offspring health throughout the lifespan, our understanding of prenatal influences on psychological outcomes faces challenges due to a wide-ranging and somewhat fragmented literature. Here, we introduce the special issue of Developmental Psychology, "Prenatal Influences Across the Life Course: Biobehavioral Mechanisms of Development," which draws together a broad collection of 12 empirical studies and one review article. These studies illustrate the diversity in biobehavioral mechanisms and biopsychosocial processes that help explain the long-term impacts of prenatal experiences on human development. Collectively, these studies help to disentangle sources of influence across different life stages (e.g., prenatal from genetic, preconception, and/or postnatal influences) and fill key gaps in the literature, such as the inclusion of minoritized populations currently underrepresented in research, the role of fathers, and protective mechanisms. The research featured in this special issue underscores both the long reach of prenatal influences on child and adolescent development as well as the challenges in observing specific biological mediators given that prenatal risks are currently operationalized as specific or broad cumulative measures. In an effort to organize this complex literature, we propose a guiding framework for how to conceptualize the continued integration of the prenatal environment into the field of developmental psychology. This framework broadens the prevailing dichotomous view of prenatal mechanisms as cumulative or specific to articulate a dimensional approach focused on adaptation. We anticipate that such an approach may uncover meaningful and observable biobehavioral mechanisms of prenatal influence on offspring development in the future.					Marceau, Kristine/AAU-5587-2020	Marceau, Kristine/0000-0002-8924-6597													0012-1649	1939-0599				SEP	2024	60	9			SI		1533	1543		10.1037/dev0001794	http://dx.doi.org/10.1037/dev0001794								39207388					WOS:001324665800002
J	Liu, C; Leve, LD; Shaw, DS; Ganiban, JM; Natsuaki, MN; Neiderhiser, JM				Liu, Chang; Leve, Leslie D.; Shaw, Daniel S.; Ganiban, Jody M.; Natsuaki, Misaki N.; Neiderhiser, Jenae M.			The Effects of Illicit Drug Use During Pregnancy and Parental Hostility on Problem Behaviors in School-Aged Children Over and Above Genetic Influences	DEVELOPMENTAL PSYCHOLOGY												Previous work has examined the impact of prenatal illicit drug use (PDU) on children's problem behaviors. However, many PDU-related risk factors, including genetic and rearing environmental risks, can also influence offspring's problem behaviors, thus confounding PDU, genetic, and rearing environmental influences. This study aimed to (a) identify effects of PDU on school-aged children's problem behaviors, including both externalizing and internalizing behaviors at Age 7, after controlling genetic and specific rearing environmental (e.g., maternal and paternal hostility at Ages 4.5 and 6) influences and (b) examine interaction effects between PDU and maternal and paternal hostility in predicting children's problem behaviors at Age 7. We used a parent-offspring adoption design to partition genetic and prenatal effects from postnatal rearing environmental influences. Participants were 561 children adopted at birth (42% female; 56% White, 19% multiracial, 13% Black/African American, 11% Latine, and 1% other), their adoptive parents, and their birth parents. Results indicate that PDU did not show a direct impact on Age 7 problem behaviors before or after controlling genetic risks and adoptive mother's and father's hostility. However, we found significant interactions between adoptive father's hostility and PDU when predicting children's problem behaviors, such that higher paternal hostility was associated with higher externalizing and internalizing behaviors for children whose birth mothers were non-use or rare use of illicit drugs during pregnancy. The results suggest that different from non- or rare drug-exposed children, higher levels of PDU may override the effects of paternal hostility, but not maternal hostility, on problem behaviors at Age 7.						Liu, Chang/0000-0001-5040-3850													0012-1649	1939-0599				SEP	2024	60	9			SI		1580	1592		10.1037/dev0001740	http://dx.doi.org/10.1037/dev0001740								38976436					WOS:001324665800011
J	Thompson, SF; Shimomaeda, L; Calhoun, R; Metje, A; Nurius, PS; Whiley, DJ; Lengua, LJ				Thompson, Stephanie F.; Shimomaeda, Lisa; Calhoun, Rebecca; Metje, Alina; Nurius, Paula S.; Whiley, Dannielle J.; Lengua, Liliana J.			Biological and Social Cascades of Prenatal Contextual Risk and Maternal Psychological Distress to Early-Childhood Adjustment	DEVELOPMENTAL PSYCHOLOGY												In the peripartum, putative mechanisms in the transmission of prenatal contextual risk and maternal psychological distress include biological and social processes. In this study, path analyses were used to test unique, cascading pathways of prenatal contextual risk and pre- and postnatal maternal psychological distress through social mediators (parenting) and biological mediators (infant stress physiology) on infant temperament and toddler adjustment. The sample is comprised of racially and ethnically diverse first-time mothers (N = 200) living in low-income contexts (<200% poverty) who were followed from pregnancy to 18-36 months postpartum. In pregnancy, mothers reported contextual risk and psychological distress (anxiety, depression). In the postpartum, mothers reported their psychological distress. At 2-4 months postpartum, observed mother-infant interactions were coded for sensitive responsiveness. Infant cortisol baseline and reactivity to a lab stressor were collected when infants were 4-6 months old. Mothers reported on infant's temperament (negative affect, effortful control) at 10-12 months and on child adjustment (internalizing, externalizing symptoms) at 18-36 months. Prenatal contextual risk predicted infant cortisol reactivity. Prenatal psychological distress predicted postnatal distress but, when accounting for postnatal distress, did not predict putative mediators or indicators of child adjustment. In contrast, maternal postnatal depression predicted subsequent maternal sensitive responsiveness, which in turn predicted later infant baseline cortisol and cortisol reactivity. Baseline cortisol predicted infant negative affectivity, which predicted toddler internalizing and externalizing symptoms. There was no evidence of mediated effects of prenatal variables on child adjustment outcomes, whereas contextual risk, postnatal psychological distress, and parenting were more salient predictors of child adjustment. Public Significance Statement Children growing up in low-income contexts are more likely to have adjustment problems compared with advantaged peers. The mechanisms of this are not well-understood. This study tests potential contributors to children's adjustment outcomes from pregnancy to toddlerhood, finding that for families living in the context of low income, contextual risk factors, a mother's mental health after giving birth, a child's stress physiology, and parenting behaviors all contribute to children's adjustment.																			0012-1649	1939-0599				SEP	2024	60	9			SI		1593	1605		10.1037/dev0001759	http://dx.doi.org/10.1037/dev0001759								38976424					WOS:001324665800010
J	Nonkovic, N; Marceau, K; McGeary, JE; Ramos, AM; Palmer, RHC; Heath, AC; Knopik, VS				Nonkovic, Nikolina; Marceau, Kristine; McGeary, John E.; Ramos, Amanda M.; Palmer, Rohan H. C.; Heath, Andrew C.; Knopik, Valerie S.			Maternal Smoking During Pregnancy Is Associated With DNA Methylation in Early Adolescence: A Sibling Comparison Design	DEVELOPMENTAL PSYCHOLOGY												Maternal smoking during pregnancy (MSDP) may impact offspring biological (e.g., deoxyribonucleic acid methylation [DNAm]) and behavioral (e.g., attention-deficit/hyperactivity disorder hyperactive/impulsive [ADHD-HI] symptoms) development. There has been consistency in findings of differential methylation in global DNAm, and the specific genes AHRR, CYP1A1, CNTNAP2, MYO1G, and GFI1 in relation to MSDP. The current study aims to (a) replicate the associations of MSDP and DNAm in prior literature in middle childhood-adolescence (cross-sectionally) using a sibling-comparison design where siblings were discordant for MSDP (n = 328 families; M-age Sibling 1 = 13.02; Sibling 2 = 10.20), adjusting for prenatal and postnatal covariates in order to isolate the MSDP exposure on DNAm. We also (b) cross-sectionally explored the role of DNAm in the most robust MSDP-ADHD associations (i.e., with ADHD-HI) previously found in this sample. We quantified smoking exposure severity for each sibling reflecting time and quantity of MSDP, centered relative to the sibling pair's average (i.e., within-family centered, indicating child-specific effects attributable MSDP exposure) and controlling for the sibling average MSDP (i.e., between-family component, indicating familial confounding related to MSDP). We found that child-specific MSDP was associated with global DNAm, and CNTNAP2, CYP1A1, and MYO1G methylation after covariate adjustment, corroborating emerging evidence for a potentially causal pathway between MSDP and DNAm. There was some evidence that child-specific CNTNAP2 and MYO1G methylation partially explained associations between MSDP and ADHD-HI symptoms, though only on one measure (of two). Future studies focused on replication of these findings in a longitudinal genetic design could further solidify the associations found in the current study.																			0012-1649	1939-0599				SEP	2024	60	9			SI		1639	1654		10.1037/dev0001747	http://dx.doi.org/10.1037/dev0001747								38661663					WOS:001324665800007
J	Rinne, GR; Barclay, ME; Somers, JA; Mahrer, NE; Shalowitz, MU; Ramey, SL; Schetter, CD; Lee, SS				Rinne, Gabrielle R.; Barclay, Margot E.; Somers, Jennifer A.; Mahrer, Nicole E.; Shalowitz, Madeleine U.; Ramey, Sharon Landesman; Schetter, Christine Dunkel; Lee, Steve S.			Developmental Cascades From Maternal Preconception Stress to Child Behavior Problems: Testing Multilevel Preconception, Prenatal, and Postnatal Influences	DEVELOPMENTAL PSYCHOLOGY												Although maternal stress during pregnancy and even before conception shapes offspring risk for mental health problems, relatively little is known about the mechanisms through which these associations operate. In theory, preconception and prenatal stress may affect offspring mental health by influencing child responses to postnatal caregiving. To address this knowledge gap, this study had two aims. First, we examined associations between preconception and prenatal stress with child temperament profiles at age four using multilevel assessment of maternal perceived stress and stress physiology. Second, we tested child temperament profiles as moderators of associations between observed parenting behaviors during a parent-child free-play interaction when children were 4 years old and child behavior problems 1 year later. Latent profile analyses yielded four distinct child temperament profiles: inhibited, exuberant, regulated low reactive, and regulated high reactive. Consistent with hypotheses, preconception, and prenatal stress each independently predicted the likelihood of children having temperament profiles characterized by higher negative emotionality and lower regulation. Specifically, preconception perceived stress and prenatal cortisol predicted likelihood of children having an exuberant temperament, whereas prenatal perceived stress predicted likelihood of children having an inhibited temperament. Contrary to hypotheses, temperament profiles did not moderate predictions of child behavior problems from observed parenting behaviors; however, responsive parenting behaviors inversely predicted child behavior problems independently of child temperament. These findings add to growing evidence regarding effects of preconception factors on child outcomes and underscore a central role for responsive parenting behaviors in predicting more favorable child mental health independent of child temperament.						Somers, Jennifer/0000-0002-5334-0370; Rinne, Gabrielle/0000-0001-6433-3988; Dunkel Schetter, Christine/0000-0002-2671-0647													0012-1649	1939-0599				SEP	2024	60	9			SI		1655	1672		10.1037/dev0001728	http://dx.doi.org/10.1037/dev0001728								38546574					WOS:001324665800009
J	Margolis, ET; Davel, L; Bourke, NJ; Bosco, C; Zieff, MR; Monachino, AD; Mazubane, T; Williams, SR; Miles, M; Jacobs, CA; Williams, S; Bradford, L; Knipe, C; Madi, Z; Methola, B; Mhlakwaphalwa, T; Mlandu, N; Nkubungu, K; Nabi, ZG; Pan, T; Samuels, R; Pini, N; Klepac-Ceraj, V; Fifer, WP; Alexander, DC; Jones, DK; Williams, SCR; Amso, D; Donald, KA; Gabard-Durnam, LJ				Margolis, Emma T.; Davel, Lauren; Bourke, Niall J.; Bosco, Cara; Zieff, Michal R.; Monachino, Alexa D.; Mazubane, Thandeka; Williams, Simone R.; Miles, Marlie; Jacobs, Chloe A.; Williams, Sadeeka; Bradford, Layla; Knipe, Candice; Madi, Zamazimba; Methola, Bokang; Mhlakwaphalwa, Tembeka; Mlandu, Nwabisa; Nkubungu, Khanyisa; Nabi, Zayaan Goolam; Pan, Tracy; Samuels, Reese; Pini, Nicolo; Klepac-Ceraj, Vanja; Fifer, William P.; Alexander, Daniel C.; Jones, Derek K.; Williams, Steve C. R.; Amso, Dima; Donald, Kirsten A.; Gabard-Durnam, Laurel J.			Longitudinal Effects of Prenatal Alcohol Exposure on Visual Neurodevelopment Over Infancy	DEVELOPMENTAL PSYCHOLOGY												Prenatal alcohol exposure (PAE) affects neurodevelopment in over 59 million individuals globally. Prior studies using dichotomous categorization of alcohol use and comorbid substance exposures provide limited knowledge of how prenatal alcohol specifically impacts early human neurodevelopment. In this longitudinal cohort study from Cape Town, South Africa, PAE is measured continuously-characterizing timing, dose, and drinking patterns (i.e., binge drinking). High-density electroencephalography (EEG) during a visual-evoked potential (VEP) task was collected from infants aged 8 to 52 weeks with prenatal exposure exclusively to alcohol and matched on sociodemographic factors to infants with no substance exposure in utero. First trimester alcohol exposure related to altered timing of the P1 VEP component over the first 6 months postnatally, and first trimester binge drinking exposure altered timing of the P1 VEP components such that increased exposure was associated with longer VEP latencies while increasing age was related to shorter VEP latencies (n = 108). These results suggest alcohol exposure in the first trimester may alter visual neurodevelopmental timing in early infancy. Exploratory individual-difference analysis across infants with and without PAE tested the relation between VEP latencies and myelination for a subsample of infants with usable magnetic resonance imaging (MRI) T1w and T2w scans collected at the same time point as EEG (n = 47). Decreased MRI T1w/T2w ratios (an indicator of myelin) in the primary visual cortex (n = 47) were linked to longer P1 VEP latencies. Results from these two sets of analyses suggest that prenatal alcohol and postnatal myelination may both separately impact VEP latency over infancy.					Williams, Steve/D-6979-2011; Donald, Kirsten A/H-9328-2015	Donald, Kirsten A/0000-0002-0276-9660; Bourke, Niall/0000-0001-6478-1430; Margolis, Emma/0000-0002-2036-8078; Alexander, Daniel/0000-0003-2439-350X													0012-1649	1939-0599				SEP	2024	60	9			SI		1673	1698		10.1037/dev0001727	http://dx.doi.org/10.1037/dev0001727								38512192					WOS:001324665800003
