PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Schwarz, S; Krafft, H; Maurer, T; Lange, S; Schemmer, J; Fischbach, T; Emgenbroich, A; Monks, S; Hubmann, M; Martin, D				Schwarz, Silke; Krafft, Hanno; Maurer, Tobias; Lange, Silke; Schemmer, Juliane; Fischbach, Thomas; Emgenbroich, Anke; Monks, Sean; Hubmann, Michael; Martin, David			Screen Time, Nature, and Development: Baseline of the Randomized Controlled Study "Screen-free till 3"	DEVELOPMENTAL SCIENCE												In the first years of life, increased screen media use is presumably associated with health consequences and developmental impairments. "Screen-free till 3" is a prospective Germany-wide randomized intervention study, started in May 2022 with a duration of 3 years. In the intervention group, 2581 pediatric practices received stickers, which were systematically placed in the screening booklet of all children, along with advice to parents to keep children free from screens until the age of 3. A volunteer sample of 17,436 parents received an invitation to take part in the preinterventional questionnaire. The outcomes were parents' internet use (CIUS test), parental screen time in the presence of children, time of screen media in the background, and children's development. Four thousand twenty-one parents answered the questionnaire. 16.7% of mothers and 31.0% of fathers reached the CIUS score of an internet-related disorder. Parents whose children use screen media at an early age had significantly higher CIUS values on average (M = 4.07) than the parents of children who do not yet have any screen time (p < 0.001). Combined developmental characteristics show a negative correlation with parental screen time (p < 0.001). Time spent in nature was positively associated with development (p < 0.001). The evaluation of the survey shows that screen media is to a large extent used on a daily basis. The study confirms the assumption that high screen media use by parents is linked to higher screen media use by children and also has a negative impact on child development. Trial Registration: Number: RKS00032258;					Martin, David/K-7406-2017	Maurer, Tobias/0009-0007-8568-7663; Krafft, Hanno/0000-0002-8199-8874; Dr. med. Schwarz, Silke/0000-0003-2567-2797; Martin, David/0000-0002-4279-3032													1363-755X	1467-7687				2024 OCT 23	2024										10.1111/desc.13578	http://dx.doi.org/10.1111/desc.13578		OCT 2024						39439363					WOS:001338036400001
J	Buerkin-Pontrelli, A; Swingley, D				Buerkin-Pontrelli, Angelica; Swingley, Daniel			How Infants Link Nonce Phrases to Scenes With Objects and Predicates	DEVELOPMENTAL SCIENCE												When infants hear sentences containing unfamiliar words, are some language-world links (such as noun-object) more readily formed than others (verb-predicate)? We examined English learning 14-15-month-olds' capacity for linking referents in scenes with bisyllabic nonce utterances. Each of the two syllables referred either to the object's identity, or the object's motion. Infants heard the syllables in either a Verb-Subject (VS) or Subject-Verb (SV) order. Learning was tested using preferential looking. The results showed that infants learned the nouns and verbs equally well. In addition, in both the VS- and SV-consistent conditions, infants learned the meaning of the utterance-final syllable, but not the utterance-initial one. A follow-up experiment that manipulated the prosodic cues of the test phrases confirmed that infants had decomposed the bisyllabic phrases into two distinct word-units. Thus, any biases potentially favoring noun or verb learning played a smaller role than utterance position did when noun and verb learning were equally supported by context.					Swingley, Daniel/AAH-3230-2019														1363-755X	1467-7687				2024 OCT 21	2024										10.1111/desc.13574	http://dx.doi.org/10.1111/desc.13574		OCT 2024						39434476					WOS:001337142400001
J	Szarek, KM; Baryla, W				Szarek, Katarzyna Myslinska; Baryla, Wieslaw			Unmasking Moral Hypocrisy: How Preschoolers Perceive and Judge Moral Hypocrites	DEVELOPMENTAL SCIENCE												Many previous studies indicate that children are highly sensitive to the immoral behavior of others, preferring prosocial over antisocial characters. Accordingly, children avoid transgressors from a very early age. A special kind of transgressor is the moral hypocrite, who not only acts immorally but also acts in contrast to what they preach. There are very few studies establishing whether children recognize moral hypocrisy and if it impacts their moral judgment. We ran three studies with preschoolers aged 4 to 6 years on whether children recognize moral hypocrisy and how children assess moral hypocrisy. In Studies 2 and 3, we also tested false-signaling theory as an explanation of the more negative assessments of moral hypocrites. In Study 1 (N = 133), we showed that children indeed assess moral hypocrites more negatively than nonhypocritical moral transgressors. In Study 2 (N = 115), we initially demonstrated that the assessment of moral hypocrites results from their inconsistency between words and deeds. Study 3 (N = 159) replicated the results of Studies 1 and 2 and, by excluding an alternative explanation, explained that moral hypocrites are perceived as less moral and liked less due to the false signals that they send.						Myslinska Szarek, Katarzyna/0000-0003-2656-7593													1363-755X	1467-7687				2024 OCT 16	2024										10.1111/desc.13580	http://dx.doi.org/10.1111/desc.13580		OCT 2024						39415531					WOS:001332859700001
J	Wu, MY; Liu, HT; Zhao, X; Lu, L; Wang, YY; Wei, CG; Liu, YH; Zhang, YX				Wu, Meiyun; Liu, Haotian; Zhao, Xue; Lu, Li; Wang, Yuyang; Wei, Chaogang; Liu, Yuhe; Zhang, Yu-Xuan			Speech-Processing Network Formation of Cochlear-Implanted Toddlers With Early Hearing Experiences	DEVELOPMENTAL SCIENCE												To reveal the formation process of speech processing with early hearing experiences, we tracked the development of functional connectivity in the auditory and language-related cortical areas of 84 (36 female) congenitally deafened toddlers using repeated functional near-infrared spectroscopy for up to 36 months post cochlear implantation (CI). Upon hearing restoration, the CI children lacked the modular organization of the mature speech-processing network and demonstrated a higher degree of immaturity in temporo-parietal than temporo-frontal connections. The speech-processing network appeared to form rapidly with early CI experiences, with two-thirds of the developing connections following nonlinear trajectories reflecting possibly more than one synaptogenesis-pruning cycle. A few key features of the mature speech-processing network emerged within the first year of CI hearing, including left-hemispheric advantage, differentiation of the dorsal and ventral processing streams, and functional state (speech listening vs. resting) specific patterns of connectivity development. The developmental changes were predictable of future auditory and verbal communication skills of the CI children, with prominent contribution from temporo-parietal connections in the dorsal stream, suggesting a mediating role of speech-processing network formation with early hearing experiences in speech acquisition.					Liu, Yuhe/B-1558-2015; Lu, Li/X-6454-2019	wu, meiyun/0000-0002-8045-9692; Lu, Li/0009-0004-9741-6244													1363-755X	1467-7687				2024 OCT 16	2024										10.1111/desc.13568	http://dx.doi.org/10.1111/desc.13568		OCT 2024						39412370					WOS:001332157000001
J	Riem, MME; Hasselman, F; Psyllou, C; van Harmelen, AL; Pearce, A; Minnis, H; Lodder, P; Cima, M				Riem, Madelon M. E.; Hasselman, Fred; Psyllou, Constantina; van Harmelen, Anne-Laura; Pearce, Anna; Minnis, Helen; Lodder, Paul; Cima, Maaike			More Than Just Treats? Effects of Grandparental Support for Children Growing up in Adversity	DEVELOPMENTAL SCIENCE												This study examined whether grandparental support is a protective factor for children's socio-emotional development in the context of adversity. Using longitudinal data from the Millennium Cohort Study, we investigated the effects of grandparental support across development in children with and without adverse childhood experiences (ACEs). Socio-emotional development was assessed with the Strengths and Difficulties Questionnaire when children were aged 3 years (N = 10,186), 5 years (N = 10,412) and 7 years (N = 10,551). Parent-reported grandparental childcare, coresidence and financial help were assessed and parents reported on the occurrence of five ACEs: physical and emotional abuse assessed with the Straus' Conflict Tactics Scale, parental mental illness assessed with the Kessler scale, domestic violence and parental separation. We found that children with relatively higher levels of ACEs showed more prosocial behaviour and less externalizing problems when they received grandparental care compared to non-grandparental (in)formal care, but only at age 3. By age 7, children with higher levels of ACEs receiving grandparental care showed less prosocial behaviour and more externalizing problems. In addition, grandparental financial support at age 3 was related to more externalizing problems. Post-hoc analyses showed that internalizing and externalizing behaviours at age 5 were related to an increased probability of grandparental childcare at age 7, indicating that children's socio-emotional problems trigger grandparental support. Our findings point to a protective effect of grandparental care on children's socio-emotional development at age 3. Our results highlight the importance of going beyond the nuclear family towards the impact of the wider family network when examining children's socio-emotional development.					Lodder, Paul/ABA-5016-2020; Hasselman, Fred/C-5603-2011	Lodder, Paul/0000-0003-1300-7853; Hasselman, Fred/0000-0003-1384-8361													1363-755X	1467-7687				2024 OCT 15	2024									e13577	10.1111/desc.13577	http://dx.doi.org/10.1111/desc.13577		OCT 2024						39410742					WOS:001332532100001
J	Mani, N				Mani, Nivedita			Timescales of Rational Inattention	DEVELOPMENTAL SCIENCE																	Mani, Nivedita/F-8795-2010	Mani, Nivedita/0000-0002-9843-4629													1363-755X	1467-7687				2024 OCT 8	2024										10.1111/desc.13571	http://dx.doi.org/10.1111/desc.13571		OCT 2024						39377607					WOS:001330709700001
J	Orlitsky, T; Davidov, M; Paz, Y; Roth-Hanania, R; Berger, MR; Yizhar, L; Shiller, L; Zahn-Waxler, C				Orlitsky, Tal; Davidov, Maayan; Paz, Yael; Roth-Hanania, Ronit; Berger, Maia Ram; Yizhar, Lital; Shiller, Liad; Zahn-Waxler, Carolyn			Which Aspects of Parenting Predict the Development of Empathic Concern During Infancy?	DEVELOPMENTAL SCIENCE												This study examined which parenting behaviors predict the development of infants' empathic concern for others in distress. We distinguished between three forms of sensitive/responsive parenting: mothers' responsiveness to infant distress, their responsiveness to the infant's nondistress cues, and maternal expression of positive affect and affection in nondistress. Although in prior work these parenting behaviors were frequently combined, or subsumed under a single global construct, such as "sensitive responsiveness", the three forms of parenting are theoretically distinct. We hypothesized that once all three were examined simultaneously, only responsiveness to distress would emerge as a unique predictor of empathy. A sample of 165 Israeli infants (50% girls) was assessed from 3 to 18 months. Parenting measures were coded from mother-infant interactions at 3 and 6 months, and infants' empathic concern was assessed using three distressed stimuli at ages 3, 6, 12, and 18 months. Path analysis models revealed that, consistent with the hypothesis, only responsiveness to distress uniquely predicted infants' subsequent empathic concern, over and above the other forms of parenting and preexisting empathy levels; conversely, being responsive or affectionate when infants were not distressed did not predict their empathic abilities. The findings underscore the importance of differentiating between theoretically distinct forms of parenting, even when they are correlated. The discussion addresses the role of responsiveness to infants' distress in the early development of empathic capacity, and highlights avenues for future research.						Paz, Yael/0000-0002-1265-5923													1363-755X	1467-7687				2024 OCT 8	2024										10.1111/desc.13566	http://dx.doi.org/10.1111/desc.13566		OCT 2024						39377585					WOS:001330712100001
J	Qiu, FW; Park, J; Vite, A; Patall, E; Moll, H				Qiu, Fanxiao Wani; Park, Joanna; Vite, Amanda; Patall, Erika; Moll, Henrike			Children's Selective Teaching and Informing: A Meta-Analysis	DEVELOPMENTAL SCIENCE												Empirical studies on selective teaching and informing indicate that children may vary what they teach depending on whom they are teaching, taking into account how helpful the information is for a given audience. The current meta-analysis quantifies the effect of selective informing and teaching in 2-7-year-olds by examining the relationship between the helpfulness of the information and the frequency of information transmission. Through a systematic search that yielded 1483 results, 28 studies (104 effect sizes, N = 2716) met the inclusion criteria. Using robust variance estimation, we found a medium average effect, Hedges' g = 0.578, 95% CI (0.331, 0.825), suggesting that children selectively share information based on its perceived helpfulness to the listener. Moderator analyses revealed that age and communicative context were significant factors. Children were more informative in their communication when asked to teach compared to other nonpedagogical prompts. This finding supports and extends natural pedagogy theory-young children not only interpret pedagogical information differently than information acquired through other means, but they are more selective in their informing when teaching. Additionally, we observed a key developmental progression at age 4. Four- to 7-year-olds, but not 2-3-year-olds, selectively shared information that was most helpful for a given learner. This coincides with the development of false-belief understanding, which undergoes significant development at around age 4. Taken together, the present synthesis suggests that young children actively engage in selective social learning from both sides, that of beneficiaries and benefactors of valuable information.						Qiu, Fanxiao Wani/0000-0002-8340-1293													1363-755X	1467-7687				2024 OCT 8	2024										10.1111/desc.13576	http://dx.doi.org/10.1111/desc.13576		OCT 2024						39380203					WOS:001328219800001
J	Galusca, CI; Helmlinger, AE; Barat, E; Pascalis, O; van der Henst, JB				Galusca, Cristina-Ioana; Helmlinger, Anna Eve; Barat, Elodie; Pascalis, Olivier; van der Henst, Jean-Baptiste			Rooting for Their Own Gender: Preschoolers' Selective Preference for Winners	DEVELOPMENTAL SCIENCE												Children's social preferences are influenced by the relative status of other individuals, but also by their social identity and the degree to which those individuals are like them. Previous studies have investigated these aspects separately and showed that in some circumstances children prefer high-status individuals and own-gender individuals. Gender is a particularly interesting case to study because it is a strong dimension of social identity, but also one of the most prevalent forms of social hierarchy, with males conceptualised as superior to females, by adults and children alike. Here we directly asked how children's social preferences are influenced by status (winner or loser of a zero-sum conflict) and winner gender (female or male) in different scenarios (same or mixed-gender). In Experiment 1, children saw same-gender conflicts between two females or two males and they displayed an overall preference for winners. In Experiment 2, participants watched two mixed-gender conflicts, one where the female prevailed and one where the male prevailed. In this case, children chose the winner, but only when they had the same gender as themselves. Experiment 3 confirmed that children preferred own-gender individuals in the absence of conflict or status. Overall, children are sensitive to the relative status of other individuals and use this information to make social decisions. However, preschoolers do not prefer just any individual who wins access to a resource. They preferred dominant individuals, but only when they were of their own gender. This suggests that children's dominance evaluations are modulated by children's social identity.																			1363-755X	1467-7687				2024 OCT 7	2024										10.1111/desc.13575	http://dx.doi.org/10.1111/desc.13575		OCT 2024						39375049					WOS:001327237100001
J	Radovanovic, M; Solby, H; Rose, KS; Hwang, J; Yucer, E; Sommerville, JA				Radovanovic, Mia; Solby, Hannah; Rose, Katie S.; Hwang, Jaemin; Yucer, Ece; Sommerville, Jessica A.			Toddlers' Helping Behavior Is Affected by the Effortful Costs Associated With Helping Others	DEVELOPMENTAL SCIENCE												Although the presence of early helping behavior has been firmly established, it is unclear to what extent children are willing to adopt costs to help others, as well as how this willingness changes as children get older. Canadian 21- to 36-month-olds (N = 48) participated in four helping tasks varying in the type and degree of effort required to help (lifting force, cognitive load, the number of steps in a task, and pushing force). When costs were lower, toddlers were not only more likely to help but also provided help more readily and helped in ways that prioritized others' needs. Importantly, we found that age and how costly helping was to individual children each uniquely predicted high-cost helping, but not low-cost helping. Overall, we demonstrate that toddlers' helping is sensitive to a variety of effortful costs, while simultaneously demonstrating that maturation and individual costs appear to uniquely influence high-cost helping.						Hwang, Jaemin/0009-0008-3686-9003; Yucer, Ece/0000-0003-0330-1071; Sommerville, Jessica/0000-0001-8290-254X													1363-755X	1467-7687				2024 OCT 7	2024										10.1111/desc.13569	http://dx.doi.org/10.1111/desc.13569		OCT 2024						39375071					WOS:001327239700001
