PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Hullebus, M; Gafos, A; Boll-Avetisyan, N; Langus, A; Fritzsche, T; Höhle, B				Hullebus, Marc; Gafos, Adamantios; Boll-Avetisyan, Natalie; Langus, Alan; Fritzsche, Tom; Hoehle, Barbara			Infant preference for specific phonetic cue relations in the contrast between voiced and voiceless stops	INFANCY												Acoustic variability in the speech input has been shown, in certain contexts, to be beneficial during infants' acquisition of sound contrasts. One approach attributes this result to the potential of variability to make the stability of individual cues visible. Another approach suggests that, instead of highlighting individual cues, variability uncovers stable relations between cues that signal a sound contrast. Here, we investigate the relation between Voice Onset Time and the onset of F1 formant frequency, two cues that subserve the voicing contrast in German. First, we verified that German-speaking adults' use of VOT to categorize voiced and voiceless stops is dependent on the value of the F1 onset frequency, in the specific form of a so-called trading relation. Next, we tested whether 6-month-old German learning infants exhibit differential sensitivity to stimulus continua in which the cues varied to an equal extent, but either adhered to the trading relation established in the adult experiment or adhered to a reversed relation. Our results present evidence that infants prefer listening to speech in which phonetic cues conform to certain cue trading relations over cue relations that are reversed.						Hohle, Barbara/0000-0002-9240-6117; Boll-Avetisyan, Natalie/0000-0001-5446-946X													1525-0008	1532-7078				2024 NOV 1	2024										10.1111/infa.12630	http://dx.doi.org/10.1111/infa.12630		NOV 2024						39487102					WOS:001357168000001
J	Moerman, F; Warreyn, P; Noens, I; Steyaert, J; van Esch, L; de Vries, L; Madarevic, M; Segers, J; Van Lierde, T; Roeyers, H				Moerman, Floor; Warreyn, Petra; Noens, Ilse; Steyaert, Jean; van Esch, Lotte; de Vries, Lyssa; Madarevic, Melinda; Segers, Julie; Van Lierde, Thijs; Roeyers, Herbert		TIARA Team	Exploring cascading effects of sensory processing on language skills and social-communicative difficulties through play in young children at elevated likelihood for autism	INFANCY												This study investigated the association between Sensory processing (SP) (i.e., hyporesponsiveness, Sensory Seeking (SS) and hyperresponsiveness) at 10 months (M) and language/social-communicative difficulties at 24M, mediated through object play at 14M in young children at elevated likelihood for autism (EL). Parent-report instruments were used to measure all variables in younger siblings of children with autism (siblings, n = 74) and children born before 30 gestational weeks (preterms, n = 38). Higher scores of object play fully mediated the association between more SS and better language/less social-communicative difficulties. Hypo- and hyperresponsiveness at 10M did not seem to predict language heterogeneity at 24M, but more hypo- and less hyperresponsiveness at 10M were associated with more social-communicative difficulties at 24M. The explained variance in social-communicative difficulties and language was limited (15.25%-16.39%). Similar associations were found for siblings and preterms. This highlights that high frequency of SP behaviors does not necessarily negatively affect communication in young EL-children as is commonly assumed. Early object play skills play a role in the association between early SS and later language/social communicative difficulties. This implies that some criteria of the two core domains of characteristics of autism are interrelated in EL-children, and this may have implications for early intervention programs.					; Steyaert, Jean/B-5326-2015	van Esch, Lotte/0000-0003-2301-2138; Steyaert, Jean/0000-0003-2512-4694; Noens, Ilse/0000-0003-3353-4423; Moerman, Floor/0000-0003-3025-0484													1525-0008	1532-7078				2024 OCT 9	2024										10.1111/infa.12625	http://dx.doi.org/10.1111/infa.12625		OCT 2024						39382140					WOS:001328619100001
J	Götz, A; Altuntas, E; Kalashnikova, M; Best, C; Burnham, D				Gotz, Antonia; Altuntas, Eylem; Kalashnikova, Marina; Best, Catherine; Burnham, Denis			Shaping linguistic input in parent-infant interactions: The influence of the Infant's temperament	INFANCY												Parent-infant interactions highlight the role of parental input, considering both the quality, infant-directed speech, and quantity of interactions, adult words and communicative turns, in these interactions. However, communication is bidirectional, yet little is known about the infant's role in these interactions. This study (n = 35 4-month-old infants) explores how infant-directed speech, the number of adult words and turn-taking (both measured by the LENA system) are correlated with infants' temperament. Our findings reveal that, while mothers use the typical characteristics of infant-directed speech, they are not correlated with the infant's temperament. However, we observe more adult-infant turn-taking in both introverted infants (with lower Surgency scores) and infants with lower attention regulation (with lower Regulatory/Orienting scores). The number of adult words was not correlated with infants' temperament. We suggest that infants with an introverted temperament prefer quieter exchanges that may lead to more turns and that infants with lower attention regulation might create more opportunities for interactions due to their lower level of self-regulation. These findings suggest that infants' temperament is associated with how adults talk with infants (communicative turns) rather than how adults talk to infants (infant-directed speech, number of adult words). Our results underscore the infant's role in parent-infant communication.					Kalashnikova, Marina/B-6590-2019; Altuntas, Eylem/KGM-6691-2024; Gotz, Antonia/KQV-2963-2024	Altuntas, Eylem/0000-0002-3239-6682; Kalashnikova, Marina/0000-0002-7924-8687; Burnham, Denis/0000-0002-1980-3458; Gotz, Antonia/0000-0002-1792-4336													1525-0008	1532-7078				2024 OCT 1	2024										10.1111/infa.12629	http://dx.doi.org/10.1111/infa.12629		OCT 2024						39354655					WOS:001324088700001
J	Karasik, LB; Schneider, JL; Kuchirko, YA; Dodojonova, R				Karasik, Lana B.; Schneider, Joshua L.; Kuchirko, Yana A.; Dodojonova, Rano			Object play in Tajikistan: Infants engage with objects despite bounds on play	INFANCY												Object play is a ubiquitous context for learning. Existing knowledge on infant object interaction has relied on Euro-American samples and observations confined to laboratory playrooms or families' homes, where object play is typically observed indoors and in rooms brimming with toys. Here we examined infants' everyday object play in Tajikistan, where spaces are uniquely laid out and homes are not child-centered and toy-abundant. The restrictive gahvora cradling practice in Tajikistan may indirectly shape how infants access and engage with objects. We documented how much time infants spent in object play, the types and diversity of objects they contacted, and the locations of play-indoors or outside. We observed 59 infants (12-24 months) during a 45-min naturalistic observation when infants were out of the gahvora. Infants engaged with objects 50% of the time. Despite a lack of object diversity, object interactions were frequent and dispersed throughout observations. Walkers tended to divide their object interactions between time spent indoors and outside, but pre-walkers mostly interacted with objects indoors. Caregivers inadvertently shape infants' opportunities for exploration and play through culturally guided childrearing practices. And infants make due: they take it upon themselves to move, explore, and engage-gleaning culturally relevant routines.						Kuchirko, Yana/0000-0001-8138-7224; Schneider, Joshua/0000-0003-0635-0987; Karasik, Lana/0000-0003-0764-4557													1525-0008	1532-7078				2024 SEP 28	2024										10.1111/infa.12627	http://dx.doi.org/10.1111/infa.12627		SEP 2024						39340802					WOS:001320809400001
J	Valdes, V; Craighead, LW; Nelson, CA III; Enlow, MB				Valdes, Viviane; Craighead, Linda W.; Nelson III, Charles A.; Enlow, Michelle Bosquet			Longitudinal interactions between maternal depression symptoms and familial stressful life events on child anxiety symptoms at 5 years of age	INFANCY												In the current study we identified salient parental factors for child anxiety symptoms by considering the role of stressful life events, maternal anxiety symptoms, maternal depressive symptoms, and maternal neuroticism. Families (N = 399) in an urban area in the United States were participants in a longitudinal study beginning in infancy. Mothers completed measures of stressful life events (Revised Life Events Questionnaire at all visits), maternal anxiety and depressive symptoms (State-Trait Anxiety Inventory and Beck Depression Inventory, respectively, at infancy between 5 and 12 months, at 2 years, and at 3 years), maternal neuroticism (NEO Five-Factor Inventory at infancy), and child anxiety symptoms (Child Behavior Checklist 1.5-5 at 5 years). Linear mixed models (LMMs) were used in analyses. Maternal depressive symptoms from infancy through 3 years were associated with child anxiety symptoms; other main effects modeled (stressful life events, maternal anxiety symptoms, maternal neuroticism) were not associated with child anxiety symptoms. There was a significant interaction effect between stressful life events and maternal depression. Stressful events from infancy through 5 years of age increased risk for child anxiety symptoms at 5 years if the child's mother had a mild mood disturbance or depression, but not for children with non-depressed mothers.						Valdes, Viviane/0000-0001-5809-3877; Bosquet Enlow, Michelle/0000-0003-2598-3894													1525-0008	1532-7078				2024 SEP 28	2024										10.1111/infa.12628	http://dx.doi.org/10.1111/infa.12628		SEP 2024						39340803					WOS:001320809900001
J	van der Klis, A; Junge, C; Adriaans, F; Kager, R				van der Klis, Anika; Junge, Caroline; Adriaans, Frans; Kager, Rene			The role of dyadic combinations of infants' behaviors and caregivers' verbal and multimodal responses in predicting vocabulary outcomes	INFANCY												There is robust evidence that infants' gestures and vocalisations and caregivers' contingent responses predict later child vocabulary. Recent studies suggest that dyadic combinations of infants' behaviors and caregivers' responses are more robust predictors of children's vocabularies than these behaviors separately. Previous studies have not yet systematically compared different types of dyadic combinations. This study aimed to compare the predictive value of (a) frequencies of infants' behaviors (vocalisations, points, and shows + gives) regardless of caregivers' responses, (b) frequencies of infants' behaviors that elicited verbal responses, (c) frequencies of infants' behaviors that elicited multimodal responses, and (d) frequencies of infants' behaviors that did not elicit any responses from caregivers. We examined 114 caregiver-infant dyads at 9-11 months and children's concurrent and longitudinal vocabulary outcomes at 2-4 years. We found that infants' points elicited a large proportion of verbal responses from caregivers which were related to children's later receptive vocabularies. We also found that only shows + gives that elicited caregivers' responses related to infants' concurrent gesture repertoires. In contrast, infants' behaviors that did not elicit responses negatively related to child vocabulary. The results highlight the importance of examining dyadic combinations of infants' behaviors and caregivers' responses during interactions when examining relations to children's vocabulary development.						van der Klis, Anika/0000-0001-5807-0667													1525-0008	1532-7078				2024 SEP 25	2024										10.1111/infa.12626	http://dx.doi.org/10.1111/infa.12626		SEP 2024						39322979					WOS:001321015000001
J	Wojcik, EH; Goulding, SJ				Wojcik, Erica H.; Goulding, Sarah J.			Distribution of words across the first years of life: A longitudinal analysis of everyday language input to three English-learning infants	INFANCY												Many in-lab studies have demonstrated that the distribution of word learning moments affects the strength and quality of word representations. How are words distributed in speech to children in their daily lives, and how is distribution related to other input characteristics? The present study analyzes transcripts of language input to English-learning infants from three longitudinal, naturalistic corpora captured between 6 and 39 months of age. To describe how word frequency varies across time, we calculated dispersion scores for all word types for each child. Dispersion quantifies the deviation of observed frequencies in each recording session from expected (uniform across sessions) word frequency, providing a measure of how evenly word utterances were spread across sessions. Dispersion is strongly correlated with frequency and moderately correlated with concreteness across all corpora, such that high frequency and low concreteness words are more evenly dispersed. Correlations with measures of age of acquisition (AoA) varied across corpora, and dispersion did not reliably predict AoA above and beyond frequency and concreteness. The contradiction between the current results and results from in-lab experiments is discussed. This study provides a foundation to explore how word learning unfolds across time and contexts in the real world.																			1525-0008	1532-7078				2024 SEP 24	2024										10.1111/infa.12622	http://dx.doi.org/10.1111/infa.12622		SEP 2024						39317965					WOS:001321057200001
J	Jubran, R; White, H; Heck, A; Chroust, A; Bhatt, RS				Jubran, Rachel; White, Hannah; Heck, Alison; Chroust, Alyson; Bhatt, Ramesh S.			Body structure processing and attentional patterns in infancy and adulthood	INFANCY												Infants are sensitive to distortions to the global configurations of bodies by 3.5 months of age, suggesting an early onset of body knowledge. It is unclear, however, whether such sensitivity indicates knowledge of the location of specific body parts or solely reflects sensitivity to the overall gestalt of bodies. This study addressed this issue by examining whether, like adults, infants attend to specific locations where body parts have been reorganized. Results show that adults and 5-month-olds, but not 3.5-month-olds, allocated more attention to the body joint areas (e.g., where the arm connects to the shoulder) that were reorganized versus ones that were typical. To examine whether this kind of processing is driven by low-level features, 5-month-olds were tested on images in which the head was removed. Infants no longer exhibited differential scanning of typical versus reorganized bodies. Results suggest that 5-month-olds are sensitive to the location of body parts, thereby demonstrating adult-like response patterns consistent with early expertise in body processing. The contrasting failure of 3.5-month-olds to exhibit sensitivity to the reorganization suggests a developmental change between these ages.						Jubran, Rachel/0000-0002-8534-9572													1525-0008	1532-7078				NOV	2024	29	6					1002	1021		10.1111/infa.12624	http://dx.doi.org/10.1111/infa.12624		SEP 2024						39307918					WOS:001317027400001
J	Hilton, M; Twomey, KE; Westermann, G				Hilton, Matt; Twomey, Katherine E.; Westermann, Gert			Caregivers as experimenters: Reducing unfamiliarity helps shy children learn words	INFANCY												Previous work has found that shy children show chance-level disambiguation and retention of novel word meanings in a typical lab-based word learning task. This effect could be explained in terms of shy children's aversion to unfamiliarity disrupting the requisite attentional processes, because the task is marked by a high degree of unfamiliarity. To test this argument, we examined whether increasing the familiarity of the task facilitates shy children's ability to form and retain word meanings. Two-year-old children (N = 23) took part in a word learning task in which their caregiver acted as the experimenter. On referent selection trials, children were presented with sets of three objects, one novel and two familiar, and were asked for either a familiar object using its known label, or a novel object using a novel word. Children were then tested on their retention of the previously formed novel word-object mappings. In this context of increased familiarity, shyness was unrelated to performance on referent selection trials. However, shyness was positively related to children's retention of the word-object mappings, meaning that shyer children outperformed less-shy children on this measure of word learning. These findings show that context-based familiarity interacts with intrinsic individual differences to affect word learning performance.					Twomey, Katherine/Q-3410-2017; Westermann, Gert/B-1699-2008	Twomey, Katherine/0000-0002-5077-2741; Westermann, Gert/0000-0003-2803-1872													1525-0008	1532-7078				NOV	2024	29	6					877	893		10.1111/infa.12623	http://dx.doi.org/10.1111/infa.12623		SEP 2024						39285516					WOS:001313934300001
J	Boylan, MR; Garner, B; Kutlu, E; Figueira, JSB; Barry-Anwar, R; Pestana, Z; Keil, A; Scott, LS				Boylan, Maeve R.; Garner, Bailey; Kutlu, Ethan; Figueira, Jessica Sanches Braga; Barry-Anwar, Ryan; Pestana, Zoe; Keil, Andreas; Scott, Lisa S.			How labels shape visuocortical processing in infants	INFANCY												The current study examined the extent to which labels shape visuocortical processing during the first year of life during a brief (similar to 6-min) associative learning task. Images of computer-generated artificial objects were paired with either individual-level (e.g., Jimmy, Boris) or category-level labels (e.g., Hitchel) while event-related potentials were recorded in response to the onset of the visual stimulus in 6- (n = 41), 9- (n = 27), and 12-month-old (n = 28) infants. Analyses examined experience-dependent visuocortical changes within and across trials, label conditions, and ages. Overall, results demonstrate that infants deploy greater visuocortical resources during the first half of associative learning trials and to stimuli paired with category-level relative to individual-level labels. Waveform morphologies also differed between stimuli paired with individual- and category-level labels and across the age groups, with more complex deflections and amplitude differences between label type at 9- and 12-month-olds, but not 6-month-old infants. The present results highlight the importance of associative learning during infancy and suggest that category- versus individual-level labels differentially direct infant attention and visuocortical processing.					Keil, Andreas/IXD-9819-2023; Boylan, Maeve/AAN-6393-2021	Boylan, Maeve/0000-0002-3698-3569; Figueira, Jessica/0000-0002-9773-1445; Kutlu, Ethan/0000-0001-9096-146X; Barry-Anwar, Ryan/0000-0001-8659-6885; Scott, Lisa/0000-0002-8136-891X; Pestana, Zoe/0000-0002-3951-2172													1525-0008	1532-7078				2024 SEP 8	2024										10.1111/infa.12621	http://dx.doi.org/10.1111/infa.12621		SEP 2024						39245806					WOS:001308399800001
