PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Hartmann, SA; Cristello, JV; Manresa, O; Trucco, EM				Hartmann, Sarah A.; Cristello, Julie V.; Manresa, Odette; Trucco, Elisa M.			The e-cigarette assessment for youth-Revised (EAsY-R): Preliminary results of a pilot study of measure refinement via cognitive interviewing	JOURNAL OF RESEARCH ON ADOLESCENCE												The prevalence of youth vaping has, in a relatively short time, become an "epidemic." In the wake of such labeling by the Surgeon General, a number of important examinations of vaping have been conducted. These have largely focused on high school and college-age youth as this demographic shows the greatest prevalence of use. Nonetheless, no measure has been made available which might allow for the comprehensive assessment of quantity and frequency of vaping among this age group, thus aiding in standardization across settings. The current study utilized cognitive interviews with high school and college-age youth who use vaping devices to inform the preliminary development of such an assessment. The sample consists of eight students between the ages of 15 and 24 (Mage = 18.75, SD = 2.73, 62.5% female, 75.0% Hispanic/Latino/a/x, 100.0% White). Interviewing and measure refinement were conducted in a two-phase iterative fashion. Suggestions made during cognitive interviews resulted in the refinement of assessed content type, updated categories and pictures of vaping devices, as well as updated and age-relevant terminology. Further, instructions were streamlined, and assessment items and multiple-choice options were refined to maximize clarity and to minimize participant confusion. The result of this study, the E-Cigarette Assessment for Youth Revised, is a unique tool for standardizing examinations of the quantity and frequency of vaping behaviors among high school students and college-age youth.					Hartmann, Sarah/JWP-3236-2024	Trucco, Elisa/0000-0002-9922-8608													1050-8392	1532-7795				SEP	2024	34	3					845	856		10.1111/jora.12957	http://dx.doi.org/10.1111/jora.12957		APR 2024						38679807					WOS:001209419100001
J	Santana, RRC; Ristum, M				Santana, Ramiro Rodrigues Coni; Ristum, Marilena			Among risks, protection, and lessons learned: Perspectives of Brazilian rural families about work in adolescence	JOURNAL OF RESEARCH ON ADOLESCENCE												Adolescents working in the Brazilian rural contexts were investigated through participant observation and interviews, aiming at understanding the role played by work in the nurturing of adolescent in these contexts. The qualitative and longitudinal survey involved six participants who were members of two different families, as follows: four female adolescents, one adult woman, and one adult man. It was found that adolescents and their families understood work as a context for nurturing moral values, learning skills, and meeting needs. Observation, however, found that work also involved exposure to risks. The study reviews the role of work in adolescence as a cultural component in some rural contexts and how this should be taken into account to avoid an ethnocentric and universalistic interpretation that divides adolescence between "normal" and "abnormal."					Santana, Ramiro Rodrigues/AEZ-2382-2022	Santana, Ramiro Rodrigues/0000-0003-3306-6359; Ristum, Marilena/0000-0003-4511-2199													1050-8392	1532-7795				JUN	2024	34	2			SI		452	465		10.1111/jora.12903	http://dx.doi.org/10.1111/jora.12903		DEC 2023						38063238					WOS:001115663600001
J	Wesche, R; Kreager, DA; Ramirez, NG; Gupta, S				Wesche, Rose; Kreager, Derek A.; Ramirez, Nayan G.; Gupta, Shivangi			Dating and friendships in adolescence: Variation across same-sex and other-sex romantic partners	JOURNAL OF RESEARCH ON ADOLESCENCE												This research examined associations between dating and number of friends for rural adolescents with same-sex and other-sex dating partners using longitudinal sociometric data (N = 2826; 55% female, 87% White, mean age = 14 at baseline). In multilevel models assessing within-person change, boys gained female friends when they were in same-sex romantic relationships, compared to when they were single. In contrast, girls in same-sex relationships lost female friends and gained male friends. Adolescents in other-sex romantic relationships gained same-sex friends compared to when they were single. Results advance understanding of adolescent social and sexual development, suggesting that sexual minority adolescents find allies when dating but may struggle to maintain same-sex friendships.						Ramirez, Nayan/0000-0002-1798-1736; Gupta, Shivangi/0000-0001-8265-710X													1050-8392	1532-7795				DEC	2023	33	4					1131	1142		10.1111/jora.12865	http://dx.doi.org/10.1111/jora.12865		MAY 2023						37211755					WOS:000993222000001
J	Wang, JY; Kaufman, T; Branje, S				Wang, Jingyun; Kaufman, Tessa; Branje, Susan			Longitudinal associations of parental psychological control and friend support with autonomy during early adolescence	JOURNAL OF RESEARCH ON ADOLESCENCE												Although theories suggest transactional associations between adolescents' autonomy and relationships with parents and friends, few studies have examined these within-person effects. This longitudinal study examined the within-person co-development of adolescents' autonomy and relationships with parents and friends. Adolescents (N = 244 M-age = 11.54, SD = 0.43 at T1; 50% boys) participated in a four-wave study across 2 years in the Netherlands. In random-intercept cross-lagged panel models, within-person results showed that higher levels of autonomy predicted less parental psychological control but not vice versa. However, no lagged-effects between friend support and autonomy were found. This study suggests that adolescents' autonomy steers changes in parental psychological control.					Kaufman, Tessa/A-4958-2016; Jingyun, Wang/AAV-4940-2021; Branje, Susan/A-7813-2010	Kaufman, Tessa/0000-0003-0191-953X; Wang, Jingyun/0000-0002-3578-471X													1050-8392	1532-7795				SEP	2023	33	3					999	1010		10.1111/jora.12851	http://dx.doi.org/10.1111/jora.12851		APR 2023						37052955					WOS:000970916600001
J	Bounds, DT; Posey, PD				Bounds, Dawn T.; Posey, Patricia D.			A Resistance Framework for Racially Minoritized Youth Behaviors During the Transition to Adulthood	JOURNAL OF RESEARCH ON ADOLESCENCE												The transition from adolescence to adulthood is a challenging time marked by rapid changes in relational connections, housing status, and academic or work trajectories. We emphasize how structural inequality shapes racially minoritized youth behaviors and center the potential for resistance, arguing that a resistance lens allows us to deepen our understanding of the transition to adulthood for racially minoritized youth. Throughout the paper, we include research on how racially minoritized youth experience marginalizing institutional structures concurrently across multiple systems and their resulting behaviors. We end with the clinical and research implications of a resistance framework to illuminate resistance-informed responses such as rethinking risk and creating spaces for youth-led self-making, youth-adult partnerships to scaffold transitions, and cultivating youth activism.					Bounds, Dawn/AAZ-5250-2021	Bounds, Dawn/0000-0002-4116-0217													1050-8392	1532-7795				SEP	2022	32	3			SI		959	980		10.1111/jora.12792	http://dx.doi.org/10.1111/jora.12792		AUG 2022						35980807					WOS:000841515900001
J	Waltzer, T; DeBernardi, FC; Dahl, A				Waltzer, Talia; DeBernardi, Fiona C.; Dahl, Audun			Student and Teacher Views on Cheating in High School: Perceptions, Evaluations, and Decisions	JOURNAL OF RESEARCH ON ADOLESCENCE												Why do so many adolescents cheat despite judging that cheating is wrong? Two studies tested a new model of cheating in high school. In Study 1, 85 high schoolers in the Western U.S. reported their perceptions, evaluations, and motivations surrounding their own and hypothetical cheating. In Study 2, 83 teachers reported their views about cheating; we also analyzed course syllabi. About half of the adolescents reported unintentional cheating, and many judged their own cheating-but not hypothetical cheating-as acceptable. Decisions to cheat were responses to competing pressures, low value placed on the assignment, and other considerations. Study 2 revealed teacher-student disagreements about cheating, and minimal content about academic integrity in syllabi. The findings supported the proposed model of adolescent cheating.						Dahl, Audun/0000-0002-1528-4347; DeBernardi, Fiona/0000-0002-5056-4803													1050-8392	1532-7795				MAR	2023	33	1					108	126		10.1111/jora.12784	http://dx.doi.org/10.1111/jora.12784		AUG 2022						35934842					WOS:000837005400001
J	Bámaca, MY; Martinez, G; Schroeder, KM; Lobo, FM; Witherspoon, DP				Bamaca, Mayra Y.; Martinez, Griselda; Schroeder, Kingsley M.; Lobo, Frances M.; Witherspoon, Dawn P.			Daily Discrimination and Affect in Latinx Adolescent-Parent Dyads Residing in Northeast United States	JOURNAL OF RESEARCH ON ADOLESCENCE												In this 14-day study, we tested whether Latinx adolescents' (M-age = 12.76 years, 52% female; 52% U.S. born; N = 21) and parents' (95% female; 24% U.S. born) daily discrimination experiences were associated with their own and other's daily affective states. Results indicated that on days when adolescents reported discrimination, they reported higher negative affect and marginally lower positive affect and, interestingly, parents reported higher positive affect. On average (i.e., across the 2-week period), adolescents' discrimination was associated with higher adolescent negative affect and lower parent positive affect. Together, findings suggest that Latinx adolescents' discrimination experiences are linked to their own affective states and their parents'. Results underscore how discrimination is linked to the affective states present in family contexts.					Schroeder, Kingsley/ABD-3933-2020; LOBO, FRANCES/AAV-3450-2021	LOBO, FRANCES M/0000-0002-7854-6930													1050-8392	1532-7795				JUN	2022	32	2			SI		611	624		10.1111/jora.12750	http://dx.doi.org/10.1111/jora.12750		APR 2022						35403333					WOS:000779979900001
J	Karnilowicz, HR; Mauss, I; Zhou, Q				Karnilowicz, Helena Rose; Mauss, Iris; Zhou, Qing			Links Between Emotion Regulation Strategies and Internalizing and Externalizing Problems in Chinese American Adolescents	JOURNAL OF RESEARCH ON ADOLESCENCE												Adolescents from immigrant families are at risk for psychological health issues due to acculturative stress and the marked increases in internalizing and externalizing problems accompanying adolescence. Emotion Regulation (ER) may be an important protective resource for these adolescents. The present study tested the links between ER and internalizing and externalizing problems in 131 first- and second-generation Chinese American adolescents. Adolescents' reappraisal was associated with less internalizing and externalizing problems; adolescents' suppression was associated with more internalizing and externalizing problems. These links were somewhat more pronounced in adolescents high in American cultural orientation as well as in adolescents low in Chinese cultural orientation. Our results advance our understanding of the links between ER and psychological health in Chinese American youth.					Zhou, Qing/AFN-9219-2022	Karnilowicz, Helena Rose/0000-0001-8661-5353; Zhou, Qing/0000-0002-8734-5081													1050-8392	1532-7795				DEC	2022	32	4					1626	1634		10.1111/jora.12723	http://dx.doi.org/10.1111/jora.12723		JAN 2022						35083814					WOS:000747282900001
J	Cho-Baker, S; Purtell, KM				Cho-Baker, Sugene; Purtell, Kelly M.			Work and School Pathways Into the Transition to Adulthood: Adolescent Family, Individual, and Industry Precursors	JOURNAL OF RESEARCH ON ADOLESCENCE												Many young adults in countries with advanced economies make linear career transitions from school to work. However, there is a great variability in youth's postsecondary education and early work experiences and more work is needed to identify the career trajectories of modern youth. Using longitudinal data on 1747 young adults from the National Longitudinal Survey of Youth-1997, the current study identifies work and school pathways commonly seen in the transition to adulthood and investigates multiple levels of adolescent precursors. Using latent class analysis, we identified four work and school pathways centered on educational attainment. Whereas parental education and future educational expectations in adolescence significantly shaped the career pathways, local labor market conditions played a limited role in predicting these pathways.																			1050-8392	1532-7795				JUN	2022	32	2			SI		785	804		10.1111/jora.12674	http://dx.doi.org/10.1111/jora.12674		AUG 2021						34382291					WOS:000684031700001
J	Reyes, HLM; Foshee, VA; Gottfredson, NC; Ennett, ST; Chen, MS				McNaughton Reyes, Heathe Luz; Foshee, Vangie Ann; Gottfredson, Nisha C.; Ennett, Susan T.; Chen, May S.			Codevelopment of Delinquency, Alcohol Use, and Aggression Toward Peers and Dates: Multitrajectory Patterns and Predictors	JOURNAL OF RESEARCH ON ADOLESCENCE												We aimed to characterize developmental patterns of involvement in alcohol use, delinquency, and interpersonal aggression in a normative sample of adolescents by applying multitrajectory group-based modeling. Using seven waves of data from a cohort sequential study spanning the 6th to 12th grades (n = 2,825; 50% girls), we identified four distinct trajectory groups: low risk (33%), declining peer aggressors (44%), peer and dating aggressors (13%), and multidomain high risk (10%). Across all comparisons, girls were more likely than boys to be members of the peer and dating aggressor group and less likely to be members of the multidomain high-risk group. Moreover, individual (self-control, negative emotionality), family (family violence, parental monitoring), and peer (substance use norms) distinguished class membership.						McNaughton Reyes, Heathe Luz/0000-0002-8696-9140; Gottfredson, Nisha/0000-0002-4765-7179													1050-8392	1532-7795				DEC	2020	30	4					1025	1038		10.1111/jora.12577	http://dx.doi.org/10.1111/jora.12577		SEP 2020						32918776					WOS:000568766300001
